CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
101007	1	2	11
101007	2	7	9
101009	1	6	12
101009	2	1	8
101010	1	2	7
101010	2	11	6
101010	3	10	5
101010	4	7	2
101011	1	10	11
101011	2	2	5
101011	3	11	4
101012	1	6	8
101012	2	11	4
101012	3	2	5
101012	4	1	1
101012	5	5	2
101013	1	10	16
101013	2	2	4
101014	1	8	10
101014	2	2	5
101014	3	11	2
101014	4	5	3
101015	1	2	12
101015	2	6	8
101016	1	6	11
101016	2	5	9
101017	1	6	10
101017	2	1	4
101017	3	11	6
101018	1	5	5
101018	2	7	5
101018	3	10	4
101018	4	2	6
101019	1	10	17
101019	2	2	3
101020	1	1	11
101020	2	10	5
101020	3	7	4
101021	1	10	7
101021	2	2	6
101021	3	7	5
101021	4	11	2
101022	1	10	8
101022	2	6	7
101022	3	1	5
101023	1	6	14
101023	2	7	6
101024	1	2	14
101024	2	10	6
101025	1	2	18
101025	2	10	2
101027	1	6	11
101027	2	5	6
101027	3	10	2
101027	4	7	1
101028	1	8	20
101029	1	7	14
101029	2	2	3
101029	3	10	3
101030	1	7	20
101031	1	6	14
101031	2	10	5
101031	3	1	1
101032	1	11	15
101032	2	10	5
101033	1	6	5
101033	2	11	15
101034	1	10	17
101034	2	1	3
101035	1	2	8
101035	2	6	3
101035	3	7	4
101035	4	10	5
101036	1	2	10
101036	2	6	6
101036	3	10	4
101037	1	10	13
101037	2	1	4
101037	3	4	2
101037	4	2	1
101038	1	11	17
101038	2	7	3
101040	1	10	20
101041	1	11	20
101042	1	11	20
101044	1	8	20
101045	1	7	20
101046	1	1	9
101046	2	2	6
101046	3	6	5
101047	1	11	20
101048	1	10	20
101049	1	2	12
101049	2	6	6
101049	3	10	2
101050	1	1	4
101050	2	6	10
101050	3	9	6
111002	1	10	12
111002	2	7	8
111003	1	1	19
111003	2	10	1
111004	1	1	20
111005	1	1	14
111005	2	2	3
111005	3	8	3
111006	1	10	10
111006	2	1	10
111008	1	1	12
111008	2	7	8
111009	1	1	12
111009	2	2	5
111009	3	10	3
111010	1	1	11
111010	2	2	5
111010	3	5	4
111011	1	1	20
111012	1	1	10
111012	2	10	6
111012	3	7	4
111013	1	1	18
111013	2	8	2
111015	1	1	20
111016	1	1	18
111016	2	10	2
111017	1	10	15
111017	2	1	5
111018	1	1	18
111018	2	10	2
111019	1	1	18
111019	2	10	1
111019	3	2	1
111020	1	1	11
111020	2	10	8
111020	3	7	1
111021	1	1	12
111021	2	10	8
111022	1	7	15
111022	2	1	3
111022	3	10	2
111023	1	1	19
111023	2	2	1
111024	1	10	18
111024	2	11	2
111025	1	1	9
111025	2	5	6
111025	3	10	5
111027	1	8	10
111027	2	1	7
111027	3	11	3
111028	1	11	8
111028	2	1	7
111028	3	2	5
111029	1	1	10
111029	2	2	6
111029	3	11	4
111030	1	1	15
111030	2	10	5
111031	1	1	12
111031	2	10	5
111031	3	4	3
111032	1	1	13
111032	2	2	5
111032	3	5	2
111033	1	6	9
111033	2	10	6
111033	3	2	3
111033	4	11	2
111034	1	1	8
111034	2	2	6
111034	3	7	4
111034	4	11	2
111035	1	5	15
111035	2	9	5
111036	1	1	8
111036	2	7	6
111036	3	10	3
111036	4	6	3
111037	1	1	6
111037	2	6	5
111037	3	5	5
111037	4	11	4
111038	1	1	17
111038	2	2	3
111040	1	10	15
111040	2	1	5
111041	1	10	16
111041	2	9	4
111042	1	1	9
111042	2	8	6
111042	3	6	5
111043	1	1	10
111043	2	10	6
111043	3	7	4
111044	1	9	20
111045	1	1	9
111045	2	7	6
111045	3	10	5
111046	1	7	10
111046	2	1	6
111046	3	2	4
111047	1	7	10
111047	2	1	5
111047	3	10	3
111047	4	2	2
111048	1	1	13
111048	2	10	7
121001	1	10	7
121001	2	1	8
121001	3	6	5
121002	1	1	17
121002	2	7	3
121004	1	1	13
121004	2	10	7
121005	1	10	7
121005	2	1	5
121005	3	6	4
121005	4	2	4
121007	1	1	7
121007	2	5	6
121007	3	10	5
121007	4	2	2
121008	1	6	20
121009	1	6	12
121009	2	8	8
121010	1	11	13
121010	2	1	5
121010	3	2	1
121010	4	6	1
121011	1	1	14
121011	2	11	4
121011	3	2	2
121012	1	1	8
121012	2	5	6
121012	3	9	4
121012	4	2	2
121013	1	6	17
121013	2	8	3
121014	1	6	8
121014	2	1	7
121014	3	2	5
121015	1	1	10
121015	2	6	8
121015	3	2	2
121020	1	1	20
121021	1	1	15
121021	2	6	5
121022	1	1	20
121023	1	1	7
121023	2	2	4
121023	3	6	4
121023	4	4	3
121023	5	10	2
121024	1	6	20
121026	1	1	12
121026	2	2	8
121027	1	6	12
121027	2	5	8
121028	1	1	15
121028	2	2	5
121030	1	6	20
121031	1	1	15
121031	2	6	3
121031	3	2	2
121033	1	1	15
121033	2	11	4
121033	3	2	1
121034	1	6	20
121037	1	6	15
121037	2	7	5
121038	1	1	15
121038	2	6	5
121040	1	1	15
121040	2	6	3
121040	3	11	2
121043	1	1	8
121043	2	2	6
121043	3	9	4
121043	4	6	2
121047	1	5	20
