CHILDCODE	LANDIDR4	LNDTYPR4	ANYAGRR4	TOTLNDR4	UNTLNDR4	USERANR4	PRIRRR4	ANYLIVR4	TOTLIVR4	UNTLIVR4	USELIVR4	ANYINDR4	TOTINDR4	UNTINDR4	USEINDR4
21029	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21029	3	1	N	 	 	 	 	Y	144	17	2	Y	18	17	8
21029	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21029	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21031	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21031	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21031	3	1	N	 	 	 	 	Y	9	17	1	N	 	 	 
21031	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21031	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21032	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21032	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21032	3	1	N	 	 	 	 	Y	30	17	1	Y	10	17	7
21032	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21032	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21033	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21033	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21033	3	1	N	 	 	 	 	Y	90	17	4	N	 	 	 
21033	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21033	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	3	1	N	 	 	 	 	Y	42	17	1	N	 	 	 
21034	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21034	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21035	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21035	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21035	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
21035	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21035	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21036	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21036	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21036	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
21036	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21036	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21037	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21037	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21037	3	1	N	 	 	 	 	Y	42	17	1	Y	10	17	7
21037	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21037	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21038	1	1	N	 	 	 	 	Y	25	17	1	Y	125	17	7
21038	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21038	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
