CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET190091	2	0	-88	0
ET190091	3	0	-88	0
ET190093	3	1	40	0
ET190094	2	1	1600	0
ET190095	1	0	-88	0
ET190097	1	0	-88	0
ET190098	1	0	-88	0
ET190099	2	1	460	0
ET190099	3	1	450	0
ET190099	4	0	-88	0
ET190099	5	1	100	0
ET190100	3	1	200	0
ET200001	1	0	0	0
ET200001	2	0	0	0
ET200001	3	0	0	0
ET200002	2	1	300	0
ET200002	3	1	600	0
ET200002	4	1	250	0
ET200003	5	0	-88	-88
ET200003	7	1	150	0
ET200003	8	1	1200	0
ET200004	4	0	-88	0
ET200009	2	1	400	0
ET200009	3	1	120	0
ET200009	4	1	24	0
ET200011	2	0	-88	0
ET200012	7	0	88	0
ET200014	3	0	0	0
ET200015	3	1	500	0
ET200015	4	1	600	0
ET200018	5	1	1200	0
ET200021	2	1	380	0
ET200021	4	0	88	0
ET200021	5	1	720	0
ET200023	2	1	150	0
ET200023	3	1	600	0
ET200023	4	1	600	0
ET200025	2	1	300	0
ET200025	3	1	300	0
ET200027	2	1	250	0
ET200027	3	1	600	0
ET200027	4	1	600	0
ET200027	5	1	400	0
ET200027	6	1	350	0
ET200027	7	1	200	0
ET200028	2	1	420	0
ET200028	3	1	200	0
ET200028	4	1	180	0
ET200028	5	1	192	0
ET200033	2	1	250	250
ET200033	3	1	180	0
ET200033	5	1	500	100
ET200035	5	0	-88	-88
ET200036	3	0	-88	-88
ET200039	2	0	-88	0
ET200039	3	1	600	0
ET200039	4	1	750	0
ET200040	2	1	150	-88
ET200040	3	1	100	-88
ET200041	2	0	0	0
ET200041	4	0	0	0
ET200043	1	1	600	0
ET200043	2	1	400	0
ET200043	3	1	400	0
ET200044	2	1	600	0
ET200044	3	1	950	0
ET200044	4	1	400	0
ET200045	5	0	0	0
ET200047	4	0	88	0
ET200049	3	0	-88	0
ET200050	5	0	-88	0
ET200056	3	0	-88	-88
ET200056	5	0	-88	-88
ET200056	6	1	120	0
ET200057	4	0	88	0
ET200058	5	0	88	0
ET200060	2	0	-88	0
ET200060	4	0	-88	0
ET200063	2	0	0	0
ET200063	3	0	0	0
ET200070	2	1	500	0
ET200070	3	1	450	0
ET200076	4	0	-88	-88
ET200078	2	1	280	0
ET200078	3	1	160	0
ET200078	4	1	220	0
ET200079	2	0	0	0
ET200079	3	1	400	0
ET200080	1	0	-88	-88
ET200080	6	1	500	80
ET200083	4	0	88	0
ET200084	2	0	0	0
ET200086	2	0	0	0
ET200086	3	0	0	0
ET200086	4	0	0	0
ET200087	2	0	-88	-88
ET200087	5	0	-88	-88
ET200095	4	1	260	0
ET200100	3	1	.5	0
