CHILDCODE	NONFODR4	BGHTR4	SPYRR4
48006	8	0	 
48006	17	0	 
48006	23	0	 
48006	30	0	 
48006	31	0	 
48007	1	1	200
48007	2	1	300
48007	3	0	 
48007	4	0	 
48007	5	0	 
48007	6	1	200
48007	7	0	 
48007	8	0	 
48007	17	1	10
48007	23	0	 
48007	30	0	 
48007	31	0	 
48008	1	1	160
48008	2	1	150
48008	3	0	 
48008	4	0	 
48008	5	1	100
48008	6	1	100
48008	7	0	 
48008	8	0	 
48008	17	0	 
48008	23	0	 
48008	30	0	 
48008	31	0	 
48009	1	1	400
48009	2	1	300
48009	3	1	250
48009	4	0	 
48009	5	1	150
48009	6	1	120
48009	7	1	60
48009	8	0	 
48009	17	1	780
48009	23	0	 
48009	30	0	 
48009	31	0	 
48010	1	1	200
48010	2	1	300
48010	3	0	 
48010	4	0	 
48010	5	1	150
48010	6	1	100
48010	7	0	 
48010	8	0	 
48010	17	0	 
48010	23	0	 
48010	30	0	 
48010	31	0	 
48011	1	1	50
48011	2	1	150
48011	3	1	40
48011	4	1	35
48011	5	0	 
48011	6	1	60
48011	7	1	25
48011	8	0	 
48011	17	0	 
48011	23	0	 
48011	30	0	 
48011	31	0	 
48013	1	1	50
48013	2	1	40
48013	3	1	100
48013	4	0	 
48013	5	1	25
48013	6	1	30
48013	7	1	60
48013	8	0	 
48013	17	0	 
48013	23	0	 
48013	30	0	 
48013	31	0	 
48014	1	1	200
48014	2	1	300
48014	3	0	 
48014	4	0	 
48014	5	1	180
48014	6	1	200
48014	7	0	 
48014	8	0	 
48014	17	0	 
48014	23	0	 
48014	30	0	 
48014	31	0	 
48015	1	1	80
48015	2	0	 
48015	3	0	 
48015	4	0	 
48015	5	1	110
48015	6	0	 
48015	7	0	 
48015	8	0	 
48015	17	0	 
48015	23	1	150
48015	30	0	 
48015	31	0	 
48016	1	0	 
48016	2	1	80
48016	3	0	 
48016	4	1	750
48016	5	1	30
48016	6	1	200
48016	7	0	 
48016	8	1	250
48016	17	1	80
48016	23	0	 
48016	30	0	 
48016	31	0	 
48017	1	1	120
48017	2	0	 
48017	3	0	 
48017	4	0	 
48017	5	1	80
48017	6	0	 
48017	7	0	 
48017	8	0	 
48017	17	1	12
48017	23	0	 
48017	30	0	 
48017	31	0	 
48018	1	1	100
48018	2	1	350
48018	3	1	400
48018	4	0	 
48018	5	1	80
48018	6	1	100
48018	7	1	50
48018	8	0	 
48018	17	1	5
48018	23	1	1060
48018	30	0	 
48018	31	0	 
48019	1	1	500
48019	2	1	400
48019	3	1	100
48019	4	1	200
48019	5	1	400
48019	6	1	100
48019	7	1	50
48019	8	1	40
48019	17	1	100
48019	23	0	 
48019	30	0	 
48019	31	0	 
48020	1	1	50
48020	2	1	100
48020	3	0	 
48020	4	0	 
48020	5	1	25
48020	6	1	150
48020	7	0	 
48020	8	0	 
48020	17	1	100
48020	23	0	 
48020	30	0	 
48020	31	0	 
48021	1	1	200
48021	2	0	 
48021	3	0	 
48021	4	0	 
48021	5	1	180
48021	6	0	 
48021	7	0	 
48021	8	0	 
48021	17	0	 
48021	23	0	 
48021	30	0	 
48021	31	0	 
48022	1	0	 
48022	2	0	 
48022	3	0	 
48022	4	0	 
48022	5	1	50
48022	6	1	25
48022	7	1	15
48022	8	0	 
48022	17	0	 
48022	23	0	 
48022	30	0	 
48022	31	0	 
48023	1	1	200
48023	2	1	200
48023	3	0	 
48023	4	0	 
48023	5	1	500
48023	6	1	250
48023	7	0	 
48023	8	0	 
48023	17	0	 
48023	23	0	 
48023	30	0	 
48023	31	0	 
48024	1	1	200
48024	2	1	200
48024	3	0	 
48024	4	1	100
48024	5	1	160
48024	6	1	80
48024	7	0	 
48024	8	1	67
48024	17	0	 
48024	23	0	 
48024	30	0	 
48024	31	0	 
48025	1	1	40
48025	2	1	100
48025	3	1	30
48025	4	1	30
48025	5	0	 
48025	6	0	 
48025	7	0	 
48025	8	0	 
48025	17	0	 
48025	23	0	 
48025	30	0	 
48025	31	0	 
48026	1	1	800
48026	2	1	200
48026	3	0	 
48026	4	0	 
48026	5	1	300
48026	6	1	50
48026	7	0	 
48026	8	0	 
48026	17	0	 
48026	23	0	 
48026	30	0	 
48026	31	0	 
58002	1	1	400
58002	2	1	100
58002	3	0	 
58002	4	1	150
58002	5	0	 
58002	6	0	 
58002	7	0	 
58002	8	1	120
58002	17	1	500
58002	23	0	 
58002	30	0	 
58002	31	0	 
58003	1	1	300
58003	2	1	350
58003	3	0	 
58003	4	0	 
58003	5	1	150
58003	6	1	100
58003	7	0	 
58003	8	0	 
58003	17	1	300
58003	23	0	 
58003	30	0	 
58003	31	0	 
58004	1	0	 
58004	2	1	900
58004	3	0	 
58004	4	0	 
58004	5	0	 
58004	6	1	240
58004	7	0	 
58004	8	0	 
58004	17	1	100
58004	23	1	150
58004	30	0	 
58004	31	0	 
58006	1	0	 
58006	2	1	200
58006	3	1	100
58006	4	1	120
58006	5	0	 
58006	6	1	80
58006	7	1	50
58006	8	0	 
58006	17	0	 
58006	23	0	 
58006	30	0	 
58006	31	0	 
58007	1	1	300
58007	2	0	 
58007	3	0	 
58007	4	0	 
58007	5	1	250
58007	6	0	 
58007	7	0	 
58007	8	0	 
58007	17	0	 
58007	23	0	 
58007	30	0	 
58007	31	0	 
58008	1	1	70
58008	2	1	70
58008	3	1	50
58008	4	0	 
58008	5	1	100
58008	6	1	18
58008	7	1	54
58008	8	0	 
58008	17	1	90
58008	23	0	 
58008	30	0	 
58008	31	0	 
58011	1	1	250
58011	2	1	300
58011	3	0	 
58011	4	0	 
58011	5	1	200
58011	6	1	100
58011	7	0	 
58011	8	0	 
58011	17	0	 
58011	23	0	 
58011	30	0	 
58011	31	0	 
58012	1	1	500
58012	2	1	300
58012	3	0	 
58012	4	1	100
58012	5	1	600
58012	6	1	200
58012	7	0	 
58012	8	1	50
58012	17	1	800
58012	23	0	 
58012	30	0	 
58012	31	0	 
58013	1	1	40
58013	2	1	500
58013	3	0	 
58013	4	1	50
58013	5	1	100
58013	6	1	40
58013	7	0	 
58013	8	1	30
58013	17	1	150
58013	23	0	 
58013	30	0	 
58013	31	0	 
58014	1	1	200
58014	2	1	70
58014	3	1	25
58014	4	0	 
58014	5	1	110
58014	6	1	70
58014	7	1	50
58014	8	0	 
58014	17	1	400
58014	23	1	200
58014	30	0	 
58014	31	0	 
58015	1	1	50
58015	2	1	50
58015	3	0	 
58015	4	1	20
58015	5	1	20
58015	6	1	20
58015	7	1	10
58015	8	0	 
58015	17	1	50
58015	23	0	 
58015	30	0	 
58015	31	0	 
58016	1	1	100
58016	2	1	40
58016	3	1	100
58016	4	0	 
58016	5	0	 
58016	6	1	50
58016	7	1	100
58016	8	0	 
58016	17	0	 
58016	23	1	1200
