CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
28009	1	0	 	 	 
28009	2	0	 	 	 
28009	6	0	 	 	 
28009	9	0	 	 	 
28009	13	0	 	 	 
28009	14	0	 	 	 
28009	15	0	 	 	 
28009	16	1	5	65	1
28009	17	0	 	 	 
28009	51	0	 	 	 
28009	52	0	 	 	 
28009	53	0	 	 	 
28009	54	0	 	 	 
28009	55	0	 	 	 
28009	56	0	 	 	 
28009	57	0	 	 	 
28009	58	0	 	 	 
28011	1	0	 	 	 
28011	2	0	 	 	 
28011	6	0	 	 	 
28011	9	1	1	80	1
28011	13	1	4	350	1
28011	14	0	 	 	 
28011	15	1	25	3000	1
28011	16	1	70	10000	1
28011	17	0	 	 	 
28011	51	0	 	 	 
28011	52	0	 	 	 
28011	53	0	 	 	 
28011	54	0	 	 	 
28011	55	0	 	 	 
28011	56	0	 	 	 
28011	57	0	 	 	 
28011	58	0	 	 	 
28012	1	0	 	 	 
28012	2	0	 	 	 
28012	6	0	 	 	 
28012	9	1	2	300	1
28012	13	0	 	 	 
28012	14	0	 	 	 
28012	15	1	1	400	1
28012	16	1	8	150	1
28012	17	0	 	 	 
28012	51	0	 	 	 
28012	52	0	 	 	 
28012	53	0	 	 	 
28012	54	0	 	 	 
28012	55	0	 	 	 
28012	56	0	 	 	 
28012	57	0	 	 	 
28012	58	0	 	 	 
28013	1	0	 	 	 
28013	2	0	 	 	 
28013	6	0	 	 	 
28013	9	0	 	 	 
28013	13	0	 	 	 
28013	14	0	 	 	 
28013	15	0	 	 	 
28013	16	1	15	100	0
28013	17	0	 	 	 
28013	51	0	 	 	 
28013	52	0	 	 	 
28013	53	0	 	 	 
28013	54	0	 	 	 
28013	55	0	 	 	 
28013	56	0	 	 	 
28013	57	0	 	 	 
28013	58	0	 	 	 
28014	1	0	 	 	 
28014	2	0	 	 	 
28014	6	0	 	 	 
28014	9	0	 	 	 
28014	13	0	 	 	 
28014	14	0	 	 	 
28014	15	0	 	 	 
28014	16	1	4	50	1
28014	17	0	 	 	 
28014	51	0	 	 	 
28014	52	0	 	 	 
28014	53	0	 	 	 
28014	54	0	 	 	 
28014	55	0	 	 	 
28014	56	0	 	 	 
28014	57	0	 	 	 
28014	58	0	 	 	 
28015	1	0	 	 	 
28015	2	0	 	 	 
28015	6	0	 	 	 
28015	9	1	6	200	0
28015	13	1	6	410	1
28015	14	0	 	 	 
28015	15	0	 	 	 
28015	16	1	4	50	1
28015	17	0	 	 	 
28015	51	0	 	 	 
28015	52	0	 	 	 
28015	53	0	 	 	 
28015	54	0	 	 	 
28015	55	0	 	 	 
28015	56	0	 	 	 
28015	57	0	 	 	 
28015	58	0	 	 	 
28016	1	 	 	 	 
28016	2	 	 	 	 
28016	6	 	 	 	 
28016	9	 	 	 	 
28016	13	 	 	 	 
28016	14	 	 	 	 
28016	15	 	 	 	 
28016	16	 	 	 	 
28016	17	 	 	 	 
28016	51	 	 	 	 
28016	52	 	 	 	 
28016	53	 	 	 	 
28016	54	 	 	 	 
28016	55	 	 	 	 
28016	56	 	 	 	 
28016	57	 	 	 	 
28016	58	 	 	 	 
28017	1	0	 	 	 
28017	2	0	 	 	 
