CHILDID	PLOT	LAREA	LOWN	LUSE
ET121050	3	2500	4	1
ET121050	4	2500	4	1
ET121053	1	5000	4	1
ET121053	2	2500	4	1
ET121053	3	2500	4	1
ET121053	4	2500	4	1
ET121053	5	2500	4	1
ET121053	6	1250	4	1
ET121054	1	2500	4	1
ET121054	2	1250	4	1
ET121054	3	2500	3	1
ET121054	4	2500	3	1
ET121055	1	625	4	1
ET121056	1	7500	4	1
ET121056	2	2500	4	1
ET121056	3	1250	4	1
ET121057	1	2500	4	1
ET121057	2	5000	1	1
ET121057	3	2500	4	1
ET121057	4	625	4	3
ET131012	1	5000	4	1
ET131013	1	7500	4	1
ET151001	1	2500	4	1
ET151001	2	5000	4	1
ET151002	1	20000	4	1
ET151002	2	20000	4	1
ET151004	1	2500	4	1
ET151004	2	2500	4	1
ET151005	1	2500	4	1
ET151005	2	5000	4	1
ET151008	1	2500	4	1
ET151008	2	2500	4	1
ET151009	1	2500	4	1
ET151009	2	3750	4	1
ET151009	3	2500	4	1
ET151010	1	3750	4	1
ET151010	2	3750	4	1
ET151011	1	5000	4	1
ET151011	2	5000	4	1
ET151012	1	5000	4	1
ET151014	1	2500	4	1
ET151014	2	2500	99	99
ET151015	1	2500	4	1
ET151015	2	1250	4	1
ET151016	1	2500	4	1
ET151018	1	10000	4	1
ET151019	1	10000	4	1
ET151020	1	1250	4	1
ET151020	2	2500	4	1
ET151021	1	10000	4	1
ET151023	1	2500	4	1
ET151024	1	10000	4	1
ET151024	2	10000	4	1
ET151025	1	2500	4	1
ET151026	1	10000	4	1
ET151026	2	5000	4	1
ET151027	1	5000	4	1
ET151027	2	2500	4	1
ET151028	1	5000	1	2
ET151029	1	7500	4	1
ET151029	2	7500	4	1
ET151030	1	2500	4	1
ET151031	1	3750	4	1
ET151031	2	5000	4	1
ET151031	3	1250	4	1
ET151032	1	12500	4	1
ET151032	2	5000	4	1
ET151033	1	2500	4	1
ET151033	2	1250	4	1
ET151033	3	5000	4	1
ET151034	1	2500	4	1
ET151034	2	1250	4	1
ET151035	1	10000	4	1
ET151035	2	12500	1	1
ET151035	3	5000	1	1
ET151039	1	15000	4	1
ET151039	2	2500	4	2
ET151041	1	5000	4	1
ET151041	2	1250	4	1
ET151042	1	5000	4	1
ET151043	1	5000	4	1
ET151043	2	2500	4	1
ET151044	1	7500	4	1
ET151044	2	5000	4	1
ET151045	1	1250	4	1
ET151045	2	2500	4	1
ET151045	3	1250	4	1
ET151049	1	2500	4	1
ET151049	2	2500	4	1
ET151051	1	2500	4	1
ET151052	1	2500	4	1
ET151053	1	2500	4	1
ET151054	1	5000	4	1
ET151056	1	2500	4	1
ET151057	1	5000	4	1
ET151057	2	2500	4	1
ET151058	1	5000	4	1
ET151059	1	7500	4	1
ET151064	1	2500	4	1
ET151066	1	5000	4	1
ET151067	1	2500	4	1
ET151068	1	5000	4	1
ET151069	1	2500	4	1
ET151070	1	1250	4	1
ET151070	2	1250	4	1
ET161001	1	3750	4	1
ET161002	1	2500	4	1
ET161002	2	2500	4	1
ET161003	1	2500	4	1
ET161003	2	2500	4	1
ET161003	3	2500	3	1
ET161004	1	3750	4	1
ET161004	2	2500	4	1
ET161005	1	2500	4	1
ET161005	2	5000	3	1
ET161006	1	2500	4	1
ET161006	2	5000	4	1
ET161007	1	2500	4	1
ET161007	2	2500	4	1
ET161008	1	5000	4	1
ET161008	2	2500	4	1
ET161009	1	5000	4	1
ET161009	2	3750	4	1
ET161009	3	2500	3	1
ET161010	1	2500	4	1
ET161010	2	5000	4	1
ET161010	3	2500	4	1
ET161011	1	2500	4	1
ET161011	2	5000	4	1
ET161011	3	3750	3	1
ET161012	1	2500	4	1
ET161012	2	3750	4	1
ET161013	1	2500	4	1
ET161013	2	5000	3	1
ET161013	3	5000	3	1
ET161014	1	5000	4	1
ET161015	1	2500	4	1
ET161015	2	2500	4	1
ET161016	1	2500	4	1
ET161016	2	2500	4	1
ET161017	1	2500	4	1
ET161018	1	2500	4	1
