CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN070100	1	22	10	0
VN070107	1	5	300	200
VN070107	2	22	100	0
VN070124	1	22	100	0
VN080002	1	6	150	50
VN080003	1	22	150	0
VN080004	1	5	1500	0
VN080005	1	22	200	0
VN080006	1	14	1000	0
VN080009	1	22	120	0
VN080011	1	22	50	0
VN080013	1	22	100	0
VN080015	1	99	-99	-99
VN080017	1	6	1500	0
VN080018	1	22	300	100
VN080019	1	6	2000	0
VN080022	1	22	250	0
VN080030	1	22	400	100
VN080031	1	19	100	50
VN080035	1	22	100	0
VN080038	1	22	100	0
VN080040	1	19	50	150
VN080041	1	22	200	0
VN080050	1	5	1000	300
VN080050	2	6	8400	1200
VN080050	3	13	500	500
VN080052	1	6	200	50
VN080053	1	6	1500	0
VN080056	1	22	50	0
VN080061	1	22	50	0
VN080062	1	22	50	0
VN080066	1	22	15	0
VN080069	1	22	200	0
VN080073	1	22	200	0
VN080084	1	19	100	1200
VN080085	1	22	200	0
VN080086	1	5	3000	0
VN080086	2	22	200	0
VN080088	1	22	100	0
VN080092	1	19	100	-88
VN080092	2	22	100	200
VN080094	1	6	3000	0
VN080094	2	5	3000	0
VN080094	3	22	300	0
VN080104	1	22	50	0
VN080119	1	6	500	200
VN080132	1	19	200	50
VN080142	1	19	100	20
VN080154	1	6	4000	0
VN080154	2	22	300	0
VN080162	1	22	100	0
VN090002	1	13	100	0
VN090003	1	19	2000	-99
VN090036	1	7	1000	300
VN090038	1	13	0	5
VN090043	1	13	2500	200
VN090050	1	13	30	100
VN090080	1	13	70	160
VN090093	1	13	0	1200
VN100009	1	0	225	576
VN100009	2	7	225	576
VN100022	1	13	10000	0
VN100022	2	6	30000	1000
VN100026	1	6	1000	0
VN100027	1	14	1000	200
VN100027	2	1	1000	200
VN100052	1	13	500	0
VN100052	2	14	50	0
VN100055	1	14	200	0
VN100055	2	5	300	100
VN100059	1	6	500	100
VN100059	2	14	200	100
VN100061	1	7	500	200
VN100067	1	6	200	50
VN100067	2	13	100	30
VN100067	3	14	100	0
VN100076	1	7	1000	0
VN100084	1	13	5000	1000
VN100085	1	14	4500	0
VN100086	1	14	300	0
VN100098	1	6	200	50
VN100101	1	0	225	720
VN100101	2	7	225	900
VN100103	1	5	30000	0
VN100103	2	6	2400	0
VN100106	1	6	1000	1000
VN100106	2	14	500	0
VN100115	1	0	225	576
VN100115	2	7	225	720
VN110001	1	13	5000	2000
VN110006	1	1	30000	0
VN110007	1	5	5000	500
VN110007	2	6	5000	500
VN110007	3	13	4000	200
VN110007	4	22	200	0
VN110008	1	13	400	0
VN110015	1	6	400	-88
VN110015	2	5	500	-88
VN110019	1	13	2000	0
VN110025	1	5	200	50
VN110025	2	6	300	50
VN110029	1	5	500	120
