CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
IN170091	2	22	1	1	4
IN170093	1	24	1	0	4
IN170094	1	20	1	1	2
IN170096	1	24	1	1	3
IN170097	1	24	1	0	3
IN170098	1	24	1	0	5
IN170100	1	24	1	0	3
IN180001	1	20	1	0	5
IN180004	1	24	1	0	4
IN180005	1	24	1	0	3
IN180006	1	20	1	0	3
IN180010	1	24	1	1	4
IN180012	1	24	1	0	4
IN180012	2	22	1	1	3
IN180013	1	24	1	0	4
IN180014	1	22	1	1	4
IN180014	2	20	2	1	4
IN180015	1	24	1	1	4
IN180019	1	20	1	0	5
IN180022	1	24	1	0	3
IN180023	1	24	1	1	5
IN180024	1	21	1	1	4
IN180025	1	20	1	1	3
IN180027	1	22	1	1	2
IN180028	1	20	1	1	3
IN180030	1	22	1	1	4
IN180032	1	24	1	0	5
IN180033	1	22	1	1	4
IN180033	2	24	1	0	3
IN180036	1	24	1	0	5
IN180036	2	22	1	1	4
IN180038	1	24	1	1	3
IN180039	1	24	1	1	4
IN180039	2	1	1	1	2
IN180040	1	24	1	1	5
IN180041	1	24	1	1	5
IN180043	1	7	1	0	5
IN180044	1	24	1	0	5
IN180047	1	20	2	0	3
IN180048	1	24	1	0	5
IN180049	1	1	1	1	2
IN180050	1	24	1	0	3
IN180052	1	22	1	1	3
IN180053	1	1	1	0	2
IN180054	1	24	1	0	3
IN180055	1	24	1	1	3
IN180055	2	20	1	0	4
IN180056	1	24	1	0	3
IN180056	2	20	1	0	3
IN180058	1	24	1	0	4
IN180059	1	24	1	1	5
IN180060	1	24	1	1	3
IN180061	1	23	1	1	4
IN180061	2	22	1	1	4
IN180062	1	24	1	0	4
IN180063	1	24	1	0	5
IN180065	1	24	1	0	3
IN180066	1	22	1	1	2
IN180067	1	24	1	0	4
IN180068	1	24	1	0	4
IN180069	1	24	1	0	3
IN180069	2	20	1	0	3
IN180070	1	24	1	0	4
IN180073	1	24	1	1	3
IN180076	1	24	1	1	5
IN180077	1	22	1	1	3
IN180078	1	24	1	0	4
IN180079	1	24	1	0	3
IN180079	2	20	1	0	4
IN180079	3	21	1	0	3
IN180083	1	24	1	1	5
IN180084	1	20	1	0	3
IN180084	2	24	1	0	3
IN180086	1	24	1	1	4
IN180087	1	24	1	0	3
IN180088	1	24	1	0	4
IN180091	1	24	1	0	4
IN180093	1	24	1	0	4
IN180094	1	24	1	1	5
IN180096	1	24	1	1	3
IN180097	1	20	1	1	4
IN180099	1	22	1	1	4
IN180100	1	24	1	0	3
IN190001	1	24	1	0	3
IN190001	2	20	1	0	3
IN190002	1	7	1	1	4
IN190003	1	20	1	0	3
IN190003	2	24	1	0	3
IN190004	1	24	1	1	5
IN190005	1	24	1	1	5
IN190005	2	1	1	0	4
IN190007	1	24	1	0	3
IN190008	1	24	1	0	4
IN190009	1	20	1	1	3
IN190013	1	24	1	0	4
IN190016	1	24	1	0	4
IN190020	1	24	1	1	3
IN190021	1	20	1	0	3
IN190021	2	1	1	0	3
IN190022	1	20	1	0	3
IN190023	1	24	1	1	4
IN190024	1	24	1	0	3
IN190025	1	1	1	0	3
IN190026	1	24	1	0	3
IN190027	1	20	1	1	3
IN190027	2	24	1	0	3
IN190033	1	24	1	1	4
IN190034	1	24	1	0	4
IN190035	1	1	1	1	3
IN190035	2	24	1	0	4
IN190035	3	20	1	1	5
IN190036	1	24	1	0	5
IN190042	1	24	1	1	3
IN190043	1	24	1	1	3
IN190043	2	20	1	1	3
IN190045	1	20	1	0	3
IN190045	2	24	1	0	3
IN190046	1	24	1	1	4
IN190047	1	24	1	0	2
IN190049	1	24	1	0	3
IN190051	1	20	1	0	5
IN190053	1	1	1	0	2
IN190055	1	20	1	0	3
IN190055	2	24	1	0	3
IN190057	1	20	1	1	3
IN190057	2	24	1	1	3
IN190058	1	24	1	1	3
IN190058	2	20	1	1	3
IN190059	1	20	1	1	3
IN190059	2	24	1	1	3
IN190060	1	22	1	1	3
IN190061	1	4	1	0	1
IN190062	1	24	1	0	3
IN190062	2	20	1	0	3
IN190069	1	22	1	1	3
IN190070	1	20	1	1	3
IN190071	1	20	1	0	2
IN190071	2	24	1	0	4
IN190071	3	22	1	1	3
IN190072	1	24	1	0	3
IN190072	2	20	1	0	3
IN190073	1	20	1	0	3
IN190074	1	1	1	1	3
IN190074	2	20	1	1	3
IN190074	3	24	1	0	3
IN190078	1	22	1	1	4
IN190079	1	22	1	1	3
IN190080	1	20	1	1	3
IN190080	2	24	1	1	3
IN190081	1	20	1	1	3
IN190081	2	24	1	1	3
IN190082	1	20	1	1	3
IN190082	2	24	1	0	3
IN190084	1	24	1	0	3
IN190084	2	20	1	0	3
IN190085	1	24	1	1	3
IN190086	1	24	1	0	5
IN190087	1	24	1	0	2
IN190088	1	22	1	1	4
IN190088	2	1	1	0	4
IN190089	1	22	1	1	4
IN190090	1	1	1	0	2
IN190091	1	24	1	1	5
IN190093	1	24	1	0	3
IN190093	2	20	1	0	4
IN190094	1	20	1	0	4
IN190095	1	24	1	0	5
IN190096	1	24	1	1	3
IN190096	2	20	1	0	3
IN190097	1	24	1	0	5
IN190098	1	24	1	0	3
IN200002	1	22	1	0	4
IN200003	1	7	1	0	4
IN200008	1	7	1	0	4
IN200010	1	22	1	0	4
IN200012	1	24	1	0	5
IN200014	1	24	1	0	3
IN200015	1	1	1	0	3
IN200016	1	24	1	1	4
IN200017	1	24	1	0	4
IN200018	1	24	1	0	4
IN200020	1	7	1	0	4
IN200027	1	7	1	0	4
IN200030	1	7	1	1	4
IN200031	1	24	1	1	4
IN200033	1	24	1	0	4
IN200034	1	7	1	0	4
IN200036	1	24	1	0	5
IN200042	1	7	1	0	5
IN200045	1	24	1	0	4
IN200049	1	24	1	0	5
IN200060	1	24	1	0	1
IN200085	1	24	1	0	4
