CHILDID	PASSID	NUMASTR3	ASSETR3	ASTACTR3	NUMOWNR3	VALASTR3
IN060063	1	6	1	5	6	700
IN060064	1	1	23	23	1	400
IN060065	1	4	30	26	4	600
IN060065	2	2	1	11	2	100
IN060066	1	6	1	11	6	800
IN060066	2	3	30	26	3	500
IN060067	1	3	1	11	3	100
IN060068	1	1	1	11	1	300
IN060070	1	1	1	11	1	300
IN060071	1	8	1	11	8	600
IN060071	2	2	4	11	2	800
IN060071	3	1	6	11	1	1500
IN060072	1	1	1	11	1	300
IN060073	1	5	13	14	5	3000
IN060074	1	5	1	11	5	500
IN060075	1	6	1	11	6	900
IN060076	1	1	1	11	1	500
IN060077	1	4	1	11	1	600
IN060077	2	1	2	11	2	800
IN060077	3	1	3	11	3	300
IN060078	1	3	1	11	3	200
IN060078	2	1	4	11	1	500
IN060079	1	3	1	11	3	500
IN060079	2	1	7	11	0	 
IN060080	1	15	11	4	15	3000
IN060081	1	4	1	11	1	200
IN060081	2	1	4	11	2	400
IN060082	1	3	1	11	1	300
IN060082	2	1	4	11	2	400
IN060083	1	8	1	11	8	600
IN060084	1	5	1	11	5	300
IN060085	1	10	11	14	10	1500
IN060086	1	3	1	11	3	350
IN060087	1	11	19	19	11	2000
IN060089	1	2	1	11	1	150
IN060091	1	3	1	11	3	200
IN060092	1	2	13	7	2	400
IN060093	1	3	1	11	3	300
IN060093	2	1	4	11	0	0
IN060096	1	4	30	7	4	500
IN060096	2	2	1	11	2	100
IN060097	1	3	1	11	3	150
IN060098	1	1	25	24	1	5000
IN060100	1	6	11	26	6	1000
IN070001	1	1	4	11	2	1000
IN070001	2	5	2	11	5	500
IN070002	1	4	1	11	4	500
IN070003	1	6	1	11	6	800
IN070003	2	2	21	21	2	4000
IN070004	1	4	1	11	4	400
IN070005	1	4	1	11	4	500
IN070007	1	1	1	11	1	300
IN070009	1	1	1	11	1	100
IN070010	1	1	1	29	1	60
IN070012	1	1	1	29	1	60
IN070013	1	4	1	11	4	400
IN070014	1	1	8	11	1	50
IN070017	1	6	11	11	6	800
IN070018	1	4	13	14	4	800
IN070019	1	2	1	11	2	100
IN070020	1	2	21	21	2	3000
IN070020	2	2	1	11	2	200
IN070022	1	3	1	26	3	400
IN070023	1	4	1	12	4	300
IN070024	1	4	11	11	4	400
IN070025	1	4	1	11	4	500
IN070026	1	6	1	11	6	450
IN070027	1	6	30	17	1	500
IN070028	1	3	1	11	3	200
IN070029	1	4	1	11	4	350
IN070030	1	8	1	11	8	900
IN070030	2	3	4	11	3	1200
IN070031	1	2	1	11	2	150
IN070032	1	3	1	11	3	500
IN070033	1	4	1	11	4	500
IN070034	1	5	1	11	5	350
IN070036	1	4	1	11	4	500
IN070038	1	8	23	23	8	1600
IN070039	1	2	1	11	2	60
IN070040	1	2	1	29	2	250
IN070040	2	3	30	26	3	500
IN070041	1	4	23	23	4	600
IN070041	2	1	25	23	1	10000
IN070042	1	2	1	11	1	200
IN070045	1	3	1	11	1	200
IN070046	1	3	1	11	3	100
IN070046	2	2	8	11	6	500
IN070046	3	1	30	11	1	100
IN070046	4	4	4	11	4	200
IN070050	1	2	1	11	2	150
IN070050	2	1	30	11	1	150
IN070051	1	5	1	11	5	600
IN070052	1	2	1	11	2	300
IN070052	2	1	23	23	1	400
IN070054	1	3	1	29	3	250
IN070054	2	1	25	23	1	600
IN070054	3	2	23	23	2	300
IN070055	1	4	1	11	1	600
IN070055	2	5	2	11	2	1200
IN070055	3	4	4	11	3	500
IN070056	1	3	1	11	2	200
IN070057	1	4	1	11	4	500
IN070058	1	3	1	11	3	300
IN070060	1	5	1	11	5	700
IN070061	1	4	1	11	4	700
IN070062	1	5	1	11	1	300
IN070063	1	5	1	11	1	400
IN070063	2	4	2	11	2	700
