CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUPIMR301	SUPIMR302
IN040017	2	16	36	2008	99	1	0	4	1	4
IN040017	3	19	36	2007	99	3	5	4	5	88
IN040017	4	16	44	2008	99	1	3	4	1	4
IN040017	5	12	46	2008	99	6	0	4	4	6
IN040018	1	5	45	2007	99	8	2	5	2	4
IN040018	2	16	36	2006	99	1	0	5	2	6
IN040018	3	3	36	2007	99	4	80	5	2	4
IN040019	1	16	36	2007	99	1	0	4	2	88
IN040019	2	12	46	2007	99	6	0	4	4	88
IN040019	3	16	36	2006	2007	1	0	4	2	88
IN040019	4	5	45	2006	99	8	4	4	3	5
IN040019	5	6	36	2006	99	3	4	4	5	1
IN040020	1	3	36	2007	99	4	2	4	1	5
IN040020	2	16	36	2007	99	1	0	4	1	4
IN040020	3	16	11	2008	99	6	3	4	1	4
IN040020	4	12	46	2007	99	6	0	4	4	88
IN040021	1	5	45	2007	99	8	3	4	2	4
IN040021	2	16	36	2006	99	1	0	4	2	6
IN040021	3	3	36	2007	99	4	80	5	2	4
IN040022	1	5	36	1999	99	6	2	4	3	5
IN040022	2	12	36	2007	99	6	0	4	1	6
IN040022	3	3	46	2008	99	2	1	4	1	2
IN040022	4	16	36	2007	99	1	0	5	4	6
IN040023	1	16	36	2008	99	6	0	4	4	6
IN040023	2	5	45	1998	99	5	2	4	1	3
IN040023	3	16	44	2007	99	6	3	4	4	5
IN040023	4	16	36	2009	99	6	4	4	6	4
IN040023	5	3	36	2007	99	5	2	4	1	5
IN040024	1	5	45	2007	99	8	4	4	2	4
IN040024	2	19	36	2007	99	1	0	5	2	4
IN040024	3	3	36	2007	99	4	80	5	2	5
IN040025	1	5	45	2006	99	6	2	4	3	5
IN040025	2	3	36	2007	99	5	80	4	1	5
IN040025	3	12	36	2006	99	1	0	4	2	4
IN040025	4	16	36	2006	99	1	4	4	2	4
IN040027	1	5	45	2005	99	6	4	4	2	5
IN040027	2	3	36	2007	99	3	3	5	5	2
IN040027	3	16	46	2006	99	1	0	4	4	6
IN040028	1	5	45	2006	99	6	4	4	2	3
IN040028	2	5	45	2006	99	6	2	4	1	5
