childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET161020	3	12	2	7	1	 	 	 	1	1999	1	2	1	 	 	1	30	0	15	12	7	6	9	1	2	2	0	7	1	2	 	 	 	 	 	 	 	 	 
ET161020	15	11	2	7	1	 	 	 	1	2000	1	1	1	 	 	2	10	0	15	12	7	6	8	1	2	2	0	7	1	3	 	 	 	 	 	 	 	 	 
ET161020	16	4	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161020	17	1	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	0	14	2	0	1	 	 	 	1	1999	1	2	0	31	13	 	88	0	15	12	7	4	9	5	4	0	0	0	0	6	 	 	 	 	 	 	 	 	 
ET161021	1	39	1	1	4	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	2	32	2	1	4	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	3	19	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	4	12	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	15	8	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	16	6	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	17	32	1	19	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	4	24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	18	25	2	22	1	 	 	 	 	 	 	 	 	 	 	 	 	0	13	12	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161021	19	0	2	22	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161022	0	14	1	0	1	 	 	 	1	1997	1	5	1	 	 	3	15	0	15	12	7	6	9	1	2	3	0	6	1	2	 	 	 	 	 	 	 	 	 
ET161022	1	47	1	1	1	 	 	4	 	 	 	 	 	 	 	 	 	0	1	12	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161022	2	42	2	1	1	 	 	6	 	 	 	 	 	 	 	 	 	0	15	12	7	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161022	3	21	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161022	4	16	1	7	1	 	 	 	1	1998	1	4	1	 	 	2	15	0	15	12	7	6	9	1	1	4	0	6	1	2	 	 	 	 	 	 	 	 	 
ET161022	15	11	1	7	1	 	 	 	1	2000	1	2	1	 	 	1	20	0	15	12	7	5	9	2	2	1	0	6	2	2	 	 	 	 	 	 	 	 	 
ET161022	16	7	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	15	12	7	5	10	5	1	1	0	0	0	7	 	 	 	 	 	 	 	 	 
ET161022	17	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	88	0	17	 	 	 	10	3	2	0	0	0	0	9	 	 	 	 	 	 	 	 	 
ET161022	18	0	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161023	0	14	1	0	1	 	 	 	1	1997	2	5	1	 	 	2	100	0	15	12	7	4	7	1	1	2	0	8	3	2	 	 	 	 	 	 	 	 	 
ET161023	1	48	1	1	1	 	 	4	 	 	 	 	 	 	 	 	 	0	1	12	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161023	2	39	2	1	1	 	 	1	 	 	 	 	 	 	 	 	 	0	15	12	7	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161023	3	22	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET161023	4	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
