CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LOANYRR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3
ET141016	1	8	2	2000	1	2000	12	0	2000	12	2001	88	2
ET141017	1	5	3	5400	1	2002	84	1	195	3	2002	88	1
ET141020	1	10	7	200	4	2000	12	0	200	2	2001	88	1
ET141022	1	7	3	1000	11	2000	12	0	1000	1	2002	88	17
ET141025	1	8	10	15000	4	1999	24	0	15000	2	2000	88	1
ET141026	1	5	2	4000	3	2001	36	1	1200	3	2002	88	1
ET141028	1	7	8	2000	8	2000	12	0	2000	8	2001	88	1
ET141029	1	5	15	1800	2	2001	18	1	1200	3	2002	88	1
ET141032	1	8	8	25000	3	2002	24	1	9000	3	2002	88	1
ET141033	1	6	8	15000	6	2000	60	1	5250	3	2002	88	1
ET141036	1	10	19	10000	10	2000	10	0	10000	3	2002	88	2
ET141036	2	10	10	13000	3	2001	77	0	13000	4	2002	88	1
ET141036	3	5	3	62000	8	2002	48	1	9100	3	2002	88	1
ET141040	1	2	4	400	1	2001	6	1	80	3	2002	12	2
ET141041	1	10	19	1000	5	1998	77	1	0	88	 	12	1
ET141043	1	9	2	1200	9	2001	9	1	500	9	2001	11	16
ET141043	2	10	2	500	9	2001	9	1	150	9	2001	11	16
ET141044	1	9	7	400	3	1999	6	1	200	6	1999	11	10
ET141050	1	7	3	3000	4	2000	24	1	2710	11	2001	6	2
ET151004	1	8	2	1000	6	2001	22	1	0	88	 	8	1
ET151005	1	1	1	130	10	1999	7	0	130	7	2000	88	1
ET151009	1	4	2	500	2	2001	12	1	250	2	2002	8	1
ET151010	1	8	8	10000	10	2001	1	1	0	88	 	11	1
ET151011	1	4	16	1250	1	2001	10	1	250	2	2002	2	1
ET151014	1	10	4	300	11	2001	5	0	300	2	2002	88	1
ET151014	2	8	6	80	10	1999	3	0	80	2	2000	88	1
ET151020	1	10	8	500	1	2002	77	1	250	1	2002	88	1
ET151023	1	10	4	1000	10	2001	5	1	0	88	 	8	1
ET151024	1	8	8	2000	10	1997	77	0	2000	2	1998	88	2
ET151026	1	8	12	400	11	2001	2	0	400	1	2002	88	1
ET151027	1	5	1	2000	2	1998	12	0	2500	2	2001	88	1
ET151028	1	7	19	1000	8	1999	12	0	1000	2	2002	88	2
ET151029	1	7	2	2090	1	2000	12	0	2090	1	2002	88	2
ET151031	1	1	1	1000	5	2000	2	0	1000	2	2002	88	1
ET151034	1	5	16	3777	12	2000	1	0	3777	10	2001	88	1
ET151045	1	6	2	500	3	1998	12	1	0	88	 	2	1
ET151045	2	10	16	200	7	2001	6	1	0	88	 	11	1
ET151049	1	1	1	2250	9	1999	77	1	150	3	2002	8	1
ET151057	1	10	1	200	8	2000	7	0	400	3	2001	88	1
ET151057	2	10	2	300	7	2001	8	1	200	2	2002	8	1
ET151057	3	10	2	100	7	2001	8	1	0	77	 	8	1
ET151058	1	10	1	100	2	2001	5	0	100	5	2001	88	1
ET151067	1	4	6	1000	8	2001	6	1	200	2	2002	11	1
ET151068	1	9	10	99	7	2001	7	1	0	88	 	11	2
ET161001	1	2	1	45	10	1999	8	0	150	6	2000	8	1
ET161001	2	2	1	105	11	2000	6	0	209.75	4	2001	88	1
ET161001	3	2	1	167	11	2001	6	1	175	88	 	8	1
ET161001	4	4	8	1000	8	2001	9	1	0	88	 	2	2
ET161001	5	10	2	400	12	2001	5	1	0	88	 	2	2
ET161002	1	8	2	100	1	2001	5	0	0	88	 	8	1
ET161002	2	1	1	300	11	2001	4	1	100	88	 	8	1
ET161003	1	8	2	500	1	2000	6	0	500	6	2001	88	1
ET161003	2	2	1	300	11	1997	5	0	300	5	1998	88	1
ET161003	3	2	1	400	11	1998	5	0	400	5	1999	88	1
ET161003	4	2	1	450	11	1999	6	0	450	6	2000	88	1
ET161003	5	2	1	500	10	2000	5	0	500	5	2001	88	1
ET161003	6	2	1	200	11	2001	6	0	200	5	2002	8	1
ET161004	1	2	1	400	11	2000	7	0	400	5	2001	88	1
ET161004	2	2	1	400	11	2001	7	1	200	5	2002	8	1
ET161004	3	8	8	3000	11	2000	6	1	1500	1	2001	2	1
ET161004	4	10	2	200	12	2001	3	1	0	88	 	8	2
ET161004	5	8	2	300	4	2001	1	0	300	5	2001	88	1
ET161005	1	2	1	400	10	2001	8	1	0	88	 	8	1
ET161005	2	4	2	500	1	2001	3	0	500	4	2001	88	1
ET161005	3	4	2	600	1	2000	3	0	600	4	2001	88	1
ET161005	4	4	2	450	1	1999	3	0	450	4	2001	88	1
ET161005	5	10	6	200	3	2001	4	1	0	88	 	11	1
ET161005	6	10	7	300	1	2001	4	1	0	88	 	11	1
ET161005	7	10	1	400	4	2001	5	1	0	88	 	11	1
ET161005	8	10	15	100	1	2001	3	1	0	88	 	11	1
ET161005	9	2	1	250	10	1997	8	0	250	5	1998	88	1
ET161005	10	2	1	200	10	1998	8	0	200	4	1999	88	1
ET161005	11	2	1	220	10	1999	8	0	220	4	2000	88	1
ET161005	12	2	1	220	10	2000	8	0	220	5	2001	88	1
ET161006	1	5	1	200	10	2000	7	0	200	4	2001	88	1
ET161006	2	8	2	300	12	2001	7	1	-88	88	 	8	1
ET161006	3	5	1	250	10	1997	5	0	250	5	1998	88	1
ET161006	4	5	1	250	10	1998	5	0	250	5	1999	88	1
ET161007	1	2	1	300	11	2001	7	1	300	11	2001	9	1
ET161007	2	10	7	300	6	2000	1	0	300	7	2000	88	1
ET161007	3	2	1	300	11	1997	7	0	300	7	1998	88	1
ET161007	4	2	1	400	11	1998	7	0	400	7	1999	88	1
ET161007	5	2	1	500	11	1999	7	0	500	7	2000	88	1
ET161007	6	2	1	550	11	2000	7	0	550	7	2001	88	1
ET161008	1	2	1	344	11	2001	5	0	344	88	 	8	1
ET161008	2	8	7	2000	2	2001	12	1	1000	8	2001	8	1
ET161009	1	2	1	800	11	1999	5	0	800	5	2000	88	4
ET161009	2	2	1	800	10	2001	6	1	400	11	2001	8	5
ET161010	1	10	19	3000	3	2001	12	0	3000	5	2001	88	1
ET161010	2	2	1	400	4	1998	10	0	400	11	1998	88	1
ET161010	3	2	1	350	3	1999	7	0	350	2	2000	12	1
ET161010	4	2	1	500	3	2000	10	0	500	6	2000	88	1
ET161010	5	2	1	600	2	2001	10	0	600	8	2001	88	1
ET161010	6	10	8	700	10	2000	6	0	700	4	2001	88	1
ET161010	7	10	14	1400	12	2001	5	1	0	88	 	11	1
ET161010	8	10	14	700	1	2000	4	0	700	4	2000	88	1
ET161010	9	10	14	800	1	1999	4	0	800	4	1999	88	1
ET161010	10	10	14	500	1	1998	4	0	500	6	1998	12	1
ET161011	1	2	1	300	10	2001	5	1	88	88	 	8	1
ET161011	2	8	7	7000	8	2001	88	1	88	88	 	8	1
ET161012	1	2	1	100	11	1997	5	0	100	5	1998	88	1
ET161012	2	2	1	200	11	1998	5	0	200	5	1999	88	1
ET161012	3	2	1	250	11	1999	5	0	250	5	2000	88	1
ET161012	4	2	1	270	11	2000	5	0	270	5	2001	88	1
ET161012	5	2	1	300	11	2001	5	1	300	5	2002	8	1
ET161013	1	2	1	600	11	1997	7	0	600	4	1998	88	1
ET161013	2	2	1	680	11	1998	7	0	680	4	1999	88	1
ET161013	3	2	1	750	11	1999	7	0	750	4	2000	88	1
ET161013	4	2	1	800	11	2000	7	0	800	4	2001	88	1
ET161013	5	2	1	464	11	2001	7	1	0	88	 	8	1
ET161014	1	2	1	360	11	1997	7	0	360	5	1998	88	1
ET161014	2	2	1	380	11	1998	7	0	380	5	1999	88	1
ET161014	3	2	1	395	11	1999	7	0	395	5	2000	88	1
ET161014	4	2	1	400	11	2000	7	0	400	5	2001	88	1
ET161014	5	2	1	400	11	2001	7	1	0	88	 	8	1
ET161014	6	8	15	1000	1	2002	4	1	0	88	 	8	1
ET161015	1	2	1	400	10	2001	7	1	0	88	 	11	1
ET161015	2	4	2	2000	1	2001	5	1	500	6	2001	11	1
ET161015	3	2	1	450	10	2000	8	0	450	8	2001	88	1
ET161015	4	2	1	450	10	1999	8	0	450	8	2000	88	1
ET161015	5	2	1	540	10	1998	8	0	540	8	1999	88	1
ET161015	6	2	1	540	10	1997	8	0	540	8	1998	88	1
ET161016	1	2	1	360	11	1997	4	0	360	4	1998	88	1
ET161016	2	2	1	450	11	1998	4	0	450	4	1999	88	1
ET161016	3	2	1	500	11	1999	4	0	500	4	2000	88	1
ET161016	4	2	1	800	11	2000	4	0	400	4	2001	88	2
ET161016	5	2	1	200	11	2001	4	1	200	4	2002	8	2
ET161018	1	10	14	300	9	2000	4	1	88	88	 	11	1
ET161018	2	8	2	200	1	2001	4	1	100	4	2001	11	1
ET161019	1	2	1	300	11	1997	8	0	300	6	1998	88	1
ET161019	2	2	1	350	10	1998	6	0	350	5	1999	88	1
ET161019	3	2	1	400	11	1999	6	0	400	6	2000	88	1
ET161019	4	2	1	500	11	2000	6	0	500	6	2001	88	1
ET161019	5	2	1	600	11	2001	5	1	600	5	2002	8	1
ET161020	1	4	6	200	10	2001	12	1	100	12	2001	11	1
ET161020	2	4	6	300	3	2000	4	0	300	4	2001	88	1
ET161022	1	2	1	140	11	1997	7	0	140	5	1998	88	1
ET161022	2	2	1	520	11	2000	7	0	520	5	2001	88	1
ET161022	3	4	3	5000	1	2001	12	0	5000	1	2002	88	1
ET161022	4	4	3	5000	2	2001	1	0	5000	3	2001	88	1
ET161023	1	8	16	2000	10	2001	5	1	2000	88	2002	8	1
ET161023	2	2	1	175	10	2000	5	0	175	5	2001	8	1
ET161023	3	2	1	340	10	2001	5	1	340	5	2002	1	1
ET161024	1	2	1	400	11	2001	7	1	0	88	 	8	1
ET161024	2	2	1	750	11	2000	7	0	750	5	2001	88	1
ET161024	3	2	1	600	11	1999	8	0	600	4	2000	88	1
ET161024	4	2	1	600	10	1998	7	0	600	5	1999	88	1
ET161024	5	8	16	600	9	2001	3	1	0	88	 	8	1
ET161024	6	4	2	300	11	2001	5	1	0	88	 	8	1
ET161025	1	2	1	400	11	1997	7	0	400	5	1998	88	1
ET161025	2	2	1	400	11	1998	7	0	400	5	1999	88	1
ET161025	3	2	1	200	11	1999	7	0	200	5	2000	88	1
ET161025	4	2	1	200	11	2000	7	0	200	5	2001	88	1
ET161025	5	2	1	200	11	2001	7	1	0	88	 	8	1
ET161025	6	10	7	1118	12	2001	6	1	0	88	 	8	1
ET161027	1	2	1	250	10	1997	5	0	250	5	1998	88	1
ET161027	2	2	1	250	10	1998	5	0	250	5	1999	88	1
ET161027	3	2	1	400	10	1999	5	0	400	5	2000	88	1
ET161027	4	2	1	400	10	2000	5	0	400	5	2001	88	1
ET161027	5	2	1	400	10	2001	5	1	0	5	2002	8	1
ET161027	6	4	2	300	2	2001	8	1	0	8	2002	8	1
ET161029	1	10	2	500	1	2001	2	0	500	2	2001	88	1
ET161029	2	10	2	600	3	2002	4	1	88	88	 	8	1
ET161029	3	10	2	400	1	2002	3	1	200	3	2002	8	1
ET161030	1	8	1	2000	11	2001	6	1	0	88	 	8	1
ET161030	2	2	1	400	10	2001	5	1	0	88	 	8	1
ET161030	3	2	1	400	10	2000	5	0	400	4	2001	88	1
ET161030	4	2	1	900	10	1999	5	0	900	5	2000	88	1
ET161030	5	2	1	400	10	1998	5	0	400	4	1999	88	1
ET161030	6	2	1	400	10	1997	5	0	400	5	1998	88	1
ET161031	1	2	1	75	11	2001	7	1	0	88	 	8	22
ET161031	2	2	1	230	10	2000	8	0	230	5	2001	88	22
ET161031	3	2	1	210	11	1999	8	0	210	6	2000	88	22
ET161031	4	2	1	220	11	1998	7	0	220	5	1999	88	22
ET161031	5	2	1	220	11	1997	7	0	210	5	1998	88	22
ET161031	6	4	4	730	1	2000	3	0	730	4	2000	88	22
ET161031	7	8	1	150	10	2000	7	0	150	4	2001	88	22
ET161031	8	10	1	700	11	2000	6	0	750	4	2001	88	22
ET161032	1	8	2	600	1	2001	4	0	600	5	2001	88	1
ET161032	2	8	2	500	12	2001	5	1	300	2	2002	8	1
ET161033	1	4	2	600	3	2002	3	1	0	88	 	8	1
ET161033	2	4	2	600	4	2001	3	0	600	7	2001	88	1
ET161033	3	4	2	500	4	2000	3	0	500	7	2000	88	1
ET161033	4	4	2	500	5	1999	3	0	500	8	1999	88	1
ET161033	5	4	2	450	5	1998	3	0	450	8	1998	88	1
ET161034	1	2	1	400	10	1999	7	0	400	5	2000	88	1
ET161034	2	2	1	400	10	1998	7	0	400	5	1999	88	1
ET161034	3	2	1	400	10	1997	7	0	400	5	1998	88	1
ET161035	1	2	1	200	11	2000	5	0	88	5	2001	88	1
ET161035	2	2	1	200	11	2001	5	1	0	5	2002	8	1
ET161037	1	2	1	200	11	2001	6	1	0	88	 	11	1
ET161037	2	2	1	300	11	2000	6	0	300	5	2001	88	1
ET161037	3	2	1	200	11	1999	6	0	200	5	2000	88	1
ET161037	4	2	1	200	11	1998	6	0	200	5	1999	88	1
ET161037	5	2	1	150	11	1997	6	0	150	5	1998	88	1
ET161037	6	8	6	9000	8	2001	9	1	4000	1	2002	11	1
ET161037	7	4	2	700	3	2001	2	0	700	5	2001	88	1
ET161037	8	4	2	400	4	2000	1	0	400	5	2000	88	1
ET161037	9	4	2	350	4	1999	1	0	350	5	1999	88	1
ET161037	10	4	2	300	4	1998	1	0	300	5	1998	88	1
ET161038	1	2	1	300	11	1997	6	0	300	5	1998	88	1
ET161038	2	2	1	350	10	1998	5	0	350	5	1999	88	1
ET161038	3	2	1	450	11	1999	6	0	450	5	2000	88	1
ET161038	4	2	1	500	10	2000	5	0	500	5	2001	88	1
ET161038	5	2	1	400	10	2001	5	1	200	5	2002	8	1
ET161039	1	2	1	400	10	2001	5	1	0	88	 	8	1
ET161039	2	8	2	3000	11	2001	5	1	0	88	 	8	1
ET161039	3	2	1	800	10	2000	5	0	800	5	2001	88	1
ET161039	4	2	1	200	10	1999	5	0	200	5	2000	88	1
ET161039	5	2	1	200	10	1998	5	0	200	5	1999	88	1
ET161039	6	2	1	200	10	1997	5	0	200	5	1998	88	1
ET161041	1	2	1	200	11	2000	7	0	200	5	2001	88	1
ET161041	2	2	1	200	11	2001	7	1	0	88	 	9	1
ET161041	3	3	8	4000	11	2001	60	1	0	88	 	8	1
ET161041	4	10	2	500	3	2001	3	0	500	6	2001	88	1
ET161042	1	2	1	400	8	1997	8	0	400	4	1998	88	1
ET161042	2	2	1	400	10	1998	8	0	400	4	1999	88	1
ET161042	3	2	1	400	10	1999	8	0	400	4	2000	88	1
ET161042	4	2	1	200	10	2000	8	0	200	4	2001	88	1
ET161042	5	2	1	200	10	2001	8	1	0	88	 	8	1
ET161042	6	8	7	4000	6	2001	12	1	3000	1	2002	8	1
ET161042	7	8	7	1000	7	2000	2	0	1000	8	2000	88	1
ET161042	8	4	2	400	1	2001	3	0	400	4	2001	88	1
ET161042	9	4	2	500	1	2000	3	0	500	4	2000	88	1
ET161042	10	4	2	300	1	1999	3	0	300	4	1999	88	1
ET161042	11	4	2	300	5	2001	3	0	300	7	2001	88	1
ET161042	12	4	2	400	5	2000	3	0	400	8	2000	88	1
ET161042	13	4	2	300	5	1999	3	0	300	7	1999	88	1
ET161043	1	2	1	400	9	2001	4	1	0	5	2002	8	1
ET161043	2	4	2	450	1	2001	5	1	0	5	2002	8	1
ET161043	3	4	2	450	1	2000	5	1	0	5	2001	11	1
ET161044	1	2	1	400	11	1997	5	0	400	5	1998	88	1
ET161044	2	2	1	400	11	1998	5	0	400	5	1999	88	1
ET161044	3	2	1	400	11	1998	5	0	400	5	2000	88	1
ET161044	4	2	1	200	11	2000	5	0	200	5	2001	88	1
ET161044	5	2	1	200	11	2001	5	1	88	88	 	8	1
ET161045	1	2	1	300	11	1997	6	0	300	6	1998	88	17
ET161045	2	2	1	350	11	1998	6	0	350	6	1999	88	17
ET161045	3	2	1	400	11	1999	6	0	400	6	2000	88	17
ET161045	4	2	1	500	11	2000	6	0	500	6	2001	88	17
ET161045	5	2	1	200	11	2001	6	1	200	6	2002	8	17
ET161045	6	10	2	200	10	2001	7	1	0	88	 	8	2
ET161046	1	2	1	400	11	2001	6	1	0	88	 	8	1
ET161046	2	2	1	400	11	1999	6	0	400	4	2000	88	1
ET161046	3	8	6	250	12	2000	5	0	250	4	2001	88	1
ET161047	1	2	1	200	10	2001	7	1	0	88	 	8	1
ET161047	2	2	1	200	10	2000	7	0	200	5	2001	88	1
ET161047	3	2	1	150	10	1999	7	0	150	5	2000	88	1
ET161047	4	2	1	150	10	1998	7	0	150	5	1999	88	1
ET161047	5	2	1	120	10	1997	7	0	120	5	1998	88	1
ET161047	6	10	7	200	11	2001	1	0	200	12	2001	88	1
ET161048	1	4	2	500	1	2001	5	1	0	88	 	8	1
ET161048	2	2	1	360	10	2000	5	0	360	5	2001	88	1
ET161048	3	2	1	175	10	1999	5	0	175	5	2000	88	1
ET161048	4	2	1	200	10	1998	5	0	200	5	1999	88	1
ET161048	5	2	1	200	10	1997	5	0	200	5	1998	88	1
ET161049	1	2	1	1200	11	2001	7	1	0	88	 	8	1
ET161049	2	2	1	1200	11	2000	7	0	1200	5	2001	88	1
ET161049	3	2	1	1200	11	1999	7	0	1200	5	2000	88	1
ET161049	4	2	1	1100	11	1998	7	0	1100	5	1999	88	1
ET161049	5	2	1	1100	11	1997	7	0	1100	5	1998	88	1
ET161050	1	2	1	540	11	1997	5	0	540	5	1998	88	1
ET161050	2	2	1	570	11	1998	5	0	570	5	1999	88	1
ET161050	3	2	1	600	11	1999	5	0	600	5	2000	88	1
ET161050	4	2	1	1200	11	2000	5	0	1200	5	2001	88	1
ET161050	5	2	1	1200	11	2001	5	1	0	88	 	8	1
ET171003	1	1	14	1800	11	1999	3	1	600	10	2001	2	1
ET171005	1	7	1	800	9	1999	24	0	-77	9	2001	88	1
ET171007	1	7	14	1200	6	1997	24	0	1200	6	2001	88	1
ET171007	2	1	1	1100	6	1997	24	0	1100	6	2001	88	2
ET171008	1	7	1	1500	8	1997	24	0	1790	8	2001	2	1
ET171008	2	7	1	1700	9	2001	36	1	0	88	 	88	1
ET171009	1	7	12	2000	4	2000	12	0	2000	5	2001	88	1
ET171009	2	7	1	2000	7	1998	12	0	2000	9	1999	88	1
ET171010	1	1	1	1800	5	1997	60	0	1800	12	2001	88	1
ET171011	1	7	1	2000	10	2001	24	1	1500	1	2002	88	1
ET171012	1	7	1	1500	8	1999	48	1	0	88	 	88	1
ET171014	1	7	1	3000	12	2001	24	1	0	88	 	88	1
ET171015	1	7	1	5000	5	2000	48	1	2000	9	2001	88	1
ET171015	2	7	1	1500	9	2001	12	1	0	88	 	88	2
ET171016	1	2	1	1300	9	1998	48	0	1300	9	2001	88	1
ET171017	1	5	1	1000	9	2001	12	1	800	1	2002	88	1
ET171018	1	7	1	1670	9	1998	48	0	2190	6	2001	88	1
ET171019	1	7	1	4000	9	1999	48	0	0	88	 	88	8
ET171020	1	1	1	2000	5	1999	36	0	2670	4	2001	88	1
ET171021	1	7	1	2000	9	2001	12	1	0	88	 	88	1
ET171022	1	7	14	2000	9	1999	48	1	1100	1	2001	88	1
ET171023	1	7	1	3000	9	1998	48	0	4300	9	2001	88	18
ET171025	1	7	1	5420	8	2001	48	1	0	88	 	88	1
ET171026	1	7	1	2500	7	1999	36	0	3000	8	2000	88	80
ET171028	1	7	14	3000	1	2001	24	1	1800	1	2002	88	1
ET171028	2	1	1	200	10	2001	6	1	0	88	 	88	1
ET171029	1	1	1	240	10	2001	6	1	0	88	 	88	1
ET171030	1	7	1	3600	4	1999	36	0	4500	9	2001	88	80
ET171032	1	2	1	800	11	2001	6	1	0	88	 	88	1
ET171032	2	2	1	600	10	2000	6	0	600	4	2001	88	1
ET171032	3	2	1	500	10	1999	6	0	500	4	2000	88	1
ET171032	4	2	1	500	11	1998	6	0	500	4	1998	88	1
ET171032	5	2	1	300	10	1997	6	0	300	4	1998	88	1
ET171032	6	7	19	4000	9	1997	48	0	5440	7	2000	88	1
ET171034	1	7	1	2000	1	2000	48	1	500	77	2001	88	1
ET171039	1	7	12	5000	8	2001	36	1	0	88	 	11	1
ET171040	1	1	1	400	10	2001	6	1	0	88	 	88	1
ET171040	2	7	12	1500	12	2000	24	1	950	12	2001	88	1
ET171042	1	7	1	1100	10	2000	48	1	0	88	 	88	1
ET171044	1	7	1	3600	4	1999	36	0	4500	9	2001	88	80
ET171045	1	1	1	1000	4	1998	60	1	200	12	2001	88	1
ET171046	1	7	1	1000	10	1999	48	0	1380	4	2000	88	1
ET171048	1	7	1	2500	9	1999	36	1	2500	9	2001	88	80
ET171049	1	7	1	2500	8	2001	36	1	0	88	 	88	80
ET171050	1	7	1	1600	9	2001	24	1	0	88	 	88	1
ET181001	1	1	1	3800	9	2000	60	1	2000	10	2001	88	2
ET181002	1	8	2	600	10	2000	8	1	100	2	2002	11	2
ET181003	1	1	1	380	10	2001	24	1	0	88	 	88	1
ET181004	1	1	1	560	11	2001	6	1	0	88	 	88	1
ET181005	1	1	1	3000	10	1999	60	1	0	88	 	88	16
ET181007	1	3	1	2400	8	2000	24	1	1000	8	2001	88	1
ET181008	1	3	1	4000	6	2001	48	1	0	88	 	88	1
ET181008	2	1	1	500	9	2000	60	1	0	88	 	88	1
ET181008	3	1	1	200	10	2001	7	1	0	88	 	88	1
ET181009	1	3	1	3570	10	1997	60	0	4660	9	2001	88	1
ET181009	2	2	1	600	10	2000	36	1	0	88	 	88	1
ET181010	1	1	1	4000	9	2000	60	1	0	88	 	88	1
ET181011	1	1	1	5000	5	1999	60	1	3000	10	2001	88	1
ET181012	1	1	1	5000	9	2000	48	1	0	88	 	88	1
ET181013	1	1	1	500	10	2001	2	0	0	88	 	2	1
ET181014	1	1	2	1500	7	2001	12	1	720	12	2001	88	2
ET181015	1	1	1	700	10	2001	2	0	700	1	2002	88	1
ET181015	2	3	1	5000	9	2000	48	1	3050	9	2001	88	1
ET181016	1	3	1	4000	9	1998	60	1	4100	5	2001	88	2
ET181016	2	2	1	450	9	2001	6	1	0	88	 	88	3
ET181018	1	1	1	1475	9	2000	12	1	300	6	2001	11	1
ET181019	1	1	1	3770	9	1998	36	1	2000	9	2001	11	2
ET181020	1	1	1	4300	9	2000	48	1	0	88	 	88	1
ET181021	1	2	1	534	10	2001	6	1	0	88	 	88	1
ET181021	2	7	1	4224	9	1997	60	1	4224	7	2001	88	1
ET181021	3	10	18	300	5	2001	36	1	0	88	 	88	1
ET181022	1	1	1	3700	7	2000	48	1	0	88	 	88	1
ET181023	1	3	1	2700	6	2000	48	1	200	10	2001	88	1
ET181024	1	1	1	880	9	2000	12	1	0	88	 	11	1
ET181025	1	1	1	5000	8	2000	48	1	3500	8	2001	88	1
ET181026	1	1	1	5000	9	2000	60	1	2800	9	2001	88	1
ET181027	1	3	1	3000	9	2000	48	1	0	88	 	88	1
ET181028	1	1	1	5500	9	1997	60	1	3300	1	2001	2	1
ET181028	2	8	3	400	2	2002	77	1	0	88	2002	11	1
ET181029	1	7	1	2500	12	2001	24	1	0	88	 	88	1
ET181030	1	1	1	1500	9	2000	48	1	0	88	 	88	1
ET181031	1	3	1	2500	10	1999	24	0	2500	10	2001	88	1
ET181031	2	7	2	200	4	2000	12	0	200	4	2001	88	1
ET181033	1	1	1	5000	11	1998	60	1	0	88	 	2	1
ET181034	1	3	1	3550	9	1999	60	1	2860	11	2001	88	1
ET181034	2	2	2	80	10	2001	5	1	0	88	 	88	1
ET181034	3	8	2	350	11	2001	6	1	0	88	 	88	1
ET181035	1	1	1	4130	9	1998	60	0	5000	11	2001	88	1
ET181036	1	1	1	750	12	1998	60	1	240	12	1998	88	1
ET181037	1	1	1	3640	11	1999	48	1	2720	9	2001	88	1
ET181038	1	2	1	260	10	2001	6	1	0	88	 	11	1
ET181039	1	1	1	5000	6	2001	36	1	0	88	 	88	1
ET181039	2	10	18	1700	2	1999	24	1	0	88	 	2	1
ET181040	1	3	1	3370	9	2000	48	1	0	88	 	88	1
ET181041	1	1	1	4000	10	2000	60	1	0	88	 	88	1
ET181041	2	2	1	560	11	2001	6	1	0	88	 	88	1
ET181042	1	1	1	3700	5	2000	48	1	0	88	 	88	2
ET181043	1	1	1	1600	10	1998	48	1	0	88	 	11	18
ET181044	1	3	1	4680	10	2001	36	1	0	88	 	11	1
ET181044	2	8	2	800	11	2001	77	1	200	1	2002	88	1
ET181045	1	1	1	3500	9	1998	48	1	0	88	 	88	1
ET181046	1	3	1	4680	10	2001	36	1	0	88	 	11	1
ET181046	2	8	2	800	11	2001	77	1	200	1	2002	88	1
ET181048	1	1	1	3200	10	1997	60	1	2800	5	2001	2	1
ET181049	1	2	1	267	8	2001	7	1	0	88	 	88	1
ET181050	1	3	1	3500	11	1998	60	1	3440	1	2002	88	1
ET191001	1	3	4	5000	4	2001	24	1	2820	3	2002	88	1
ET191001	2	10	4	1500	10	2001	77	1	500	2	2002	9	1
ET191007	1	4	2	500	2	2002	12	1	0	88	 	88	2
ET191008	1	7	19	2500	3	2000	36	1	1269.8	4	2002	88	3
ET191009	1	3	5	2000	9	2001	36	1	639	3	2002	88	2
ET191013	1	3	19	4000	4	2000	48	1	2277	3	2002	88	1
ET191014	1	3	19	2000	6	1999	36	1	1500	3	2002	88	1
ET191014	2	10	19	1000	2	1999	77	1	0	88	 	11	1
ET191016	1	1	1	5000	2	2001	36	1	1000	3	2002	88	1
ET191017	1	8	4	300	3	2002	3	1	0	88	 	6	1
ET191019	1	3	5	5000	10	2000	36	1	2617.6	4	2002	88	1
ET191019	2	8	5	2000	1	2002	77	1	600	7	2002	88	1
ET191020	1	7	19	10000	1	2002	36	1	712	3	2002	88	1
ET191023	1	7	19	3000	10	2000	36	0	3500	4	2002	88	1
ET191024	1	3	1	3000	3	2001	24	1	1360	3	2002	88	2
ET191024	2	8	3	1000	7	2000	77	1	200	3	2001	88	2
ET191026	1	3	4	3000	9	1999	36	1	2750	3	2002	88	1
ET191027	1	7	4	10000	12	2000	24	1	8500	4	2002	88	17
ET191029	1	5	1	2000	2	2002	12	1	600	3	2002	88	2
ET191031	1	3	1	2600	9	1997	60	0	2600	9	2001	88	17
ET191032	1	7	4	5000	6	1997	24	0	5900	6	1999	88	1
ET191032	2	3	4	5000	4	1999	36	1	5738	3	2002	88	1
ET191033	1	7	19	5000	7	2000	24	1	3500	3	2002	88	1
ET191034	1	8	2	2000	1	2001	0	1	0	88	 	11	2
ET191037	1	3	19	5000	6	1998	60	1	5378.8	3	2002	88	1
ET191037	2	10	19	15000	1	2002	12	1	0	88	 	88	1
ET191039	1	7	19	2000	2	2000	36	1	1715	3	2002	12	1
ET191040	1	5	8	20000	3	1997	60	1	10000	1	2002	11	1
ET191041	1	3	19	5000	10	2000	36	1	3134	4	2002	88	1
ET191044	1	7	3	5000	1	1998	24	0	5900	1	2000	88	1
ET191044	2	7	3	5000	2	2001	24	1	1800	2	2002	88	1
ET191045	1	8	2	400	12	2001	77	1	0	88	 	11	1
ET191046	1	7	1	2000	3	1999	24	0	2000	3	2001	88	8
ET191046	2	4	1	1500	10	2001	77	1	500	2	2002	11	8
ET191047	1	8	4	150	3	2002	77	1	0	88	 	11	1
ET191048	1	7	19	3000	12	2000	24	0	3360	12	2001	88	1
ET191049	1	3	19	5000	4	2000	36	1	3638.6	3	2002	88	1
ET191051	1	7	19	10000	11	1999	24	0	11251	4	2001	88	1
ET191051	2	7	19	10000	5	2001	24	0	5156.8	3	2002	88	1
ET201001	1	7	4	5000	5	1999	36	1	3000	5	2001	88	1
ET201001	2	7	1	1700	11	2000	36	0	1700	3	2002	88	1
ET201002	1	1	1	5000	6	2000	48	0	0	88	 	88	80
ET201003	1	7	19	3000	5	2000	48	1	0	88	 	88	1
