CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
10070	0	21/11/2016 17:36:36	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10071	0	23/12/2016 15:30:10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10072	1	17/11/2016 16:15:28	 	 	1	0	1	0	0	1	0	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	3	2	3	3	2	3	3	3	4	4	4	2	2	2	4	4	4	4	4
10074	1	20/11/2016 11:03:44	 	 	0	0	0	0	1	1	1	3	 	3	3	2	 	2	 	3	2	 	3	3	4	 	3	 	3	3	 	2	3	 	3	4	4	2	2	2	4	5	3	 	4	 
10075	1	19/11/2016 18:38:12	 	 	0	0	1	0	1	1	0	3	3	2	4	2	3	2	2	3	2	3	3	2	2	3	2	3	3	3	3	2	3	3	3	2	3	2	2	3	4	4	3	3	77	77
10076	1	22/11/2016 10:42:12	 	 	0	1	1	1	1	1	1	3	 	3	3	3	 	3	 	3	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	3	3	2	5	3	5	4	3	 	5	 
10078	1	16/11/2016 15:42:48	 	 	1	0	1	0	0	1	0	3	4	3	3	3	4	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	5	3	3	2	3	5	3	3	3	3	4
10079	0	17/11/2016 11:24:02	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10080	0	18/11/2016 20:46:12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10081	0	20/11/2016 16:40:21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10082	0	20/11/2016 10:54:28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
