CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
78016	2	98	 	 	 	 
78016	3	98	 	 	 	 
78017	1	63	 	 	4	 
78017	2	98	 	 	 	 
78017	3	98	 	 	 	 
78018	1	39	 	 	4	 
78018	2	98	 	 	 	 
78018	3	98	 	 	 	 
78019	1	69	 	 	 	2
78019	2	62	4	 	 	 
78019	3	98	 	 	 	 
78020	1	98	 	 	 	 
78020	2	98	 	 	 	 
78020	3	98	 	 	 	 
78021	1	20	 	4	 	 
78021	2	62	2	 	 	 
78021	3	98	 	 	 	 
78022	1	98	 	 	 	 
78022	2	98	 	 	 	 
78022	3	98	 	 	 	 
78024	1	45	 	2	2	2
78024	2	69	 	 	 	2
78024	3	98	 	 	 	 
78026	1	62	 	4	 	 
78026	2	20	2	 	 	 
78026	3	98	 	 	 	 
78027	1	98	 	 	 	 
78027	2	98	 	 	 	 
78027	3	98	 	 	 	 
78028	1	98	 	 	 	 
78028	2	98	 	 	 	 
78028	3	98	 	 	 	 
78029	1	45	 	 	4	 
78029	2	63	3	3	3	3
78029	3	13	3	3	3	3
78030	1	69	 	 	2	2
78030	2	98	 	 	 	 
78030	3	98	 	 	 	 
78031	1	98	 	 	 	 
78031	2	98	 	 	 	 
78031	3	98	 	 	 	 
78032	1	42	 	4	4	 
78032	2	39	 	 	2	 
78032	3	98	 	 	 	 
78033	1	45	 	2	 	 
78033	2	98	 	 	 	 
78033	3	98	 	 	 	 
78034	1	98	 	 	 	 
78034	2	98	 	 	 	 
78034	3	98	 	 	 	 
78035	1	98	 	 	 	 
78035	2	98	 	 	 	 
78035	3	98	 	 	 	 
78036	1	98	 	 	 	 
78036	2	98	 	 	 	 
78036	3	98	 	 	 	 
78037	1	37	 	 	4	 
78037	2	98	 	 	 	 
78037	3	98	 	 	 	 
78038	1	45	 	4	 	 
78038	2	98	 	 	 	 
78038	3	98	 	 	 	 
78039	1	98	 	 	 	 
78039	2	98	 	 	 	 
78039	3	98	 	 	 	 
78040	1	62	 	 	 	3
78040	2	98	 	 	 	 
78040	3	98	 	 	 	 
78041	1	62	 	 	4	 
78041	2	98	 	 	 	 
78041	3	98	 	 	 	 
78042	1	2	 	 	3	 
78042	2	13	2	2	2	2
78042	3	20	2	2	2	2
