CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5	SLVALR5
10044	14	N	 	 
10044	15	N	 	 
10044	16	N	 	 
10044	17	N	 	 
10044	18	N	 	 
10044	20	N	 	 
10044	21	N	 	 
10045	1	Y	1	1000
10045	2	N	 	 
10045	3	N	 	 
10045	4	N	 	 
10045	5	N	 	 
10045	6	N	 	 
10045	7	Y	3	1800
10045	8	N	 	 
10045	9	Y	1	1000
10045	10	N	 	 
10045	11	Y	3	1200
10045	12	N	 	 
10045	13	N	 	 
10045	14	N	 	 
10045	15	Y	1	300
10045	16	N	 	 
10045	17	N	 	 
10045	18	N	 	 
10045	20	Y	1	800
10045	21	N	 	 
10046	1	Y	1	500
10046	2	N	 	 
10046	3	N	 	 
10046	4	N	 	 
10046	5	N	 	 
10046	6	N	 	 
10046	7	Y	5	4350
10046	8	N	 	 
10046	9	N	 	 
10046	10	N	 	 
10046	11	Y	1	800
10046	12	N	 	 
10046	13	Y	1	100
10046	14	N	 	 
10046	15	N	 	 
10046	16	N	 	 
10046	17	N	 	 
10046	18	N	 	 
10046	20	Y	2	800
10046	21	Y	1	300
10047	1	Y	1	1400
10047	2	N	 	 
10047	3	N	 	 
10047	4	N	 	 
10047	5	N	 	 
10047	6	N	 	 
10047	7	Y	2	1000
10047	8	N	 	 
10047	9	N	 	 
10047	10	N	 	 
10047	11	N	 	 
10047	12	N	 	 
10047	13	Y	1	500
10047	14	N	 	 
10047	15	N	 	 
10047	16	N	 	 
10047	17	N	 	 
10047	18	N	 	 
10047	20	N	 	 
10047	21	N	 	 
10049	1	Y	1	2000
10049	2	N	 	 
10049	3	N	 	 
10049	4	N	 	 
10049	5	N	 	 
10049	6	N	 	 
10049	7	Y	4	5000
10049	8	Y	4	600
10049	9	N	 	 
10049	10	N	 	 
10049	11	N	 	 
10049	12	Y	1	3000
10049	13	Y	2	600
10049	14	N	 	 
10049	15	N	 	 
10049	16	N	 	 
10049	17	N	 	 
10049	18	N	 	 
10049	20	N	 	 
10049	21	N	 	 
10050	1	Y	1	14000
10050	2	Y	1	300
10050	3	N	 	 
10050	4	N	 	 
10050	5	N	 	 
10050	6	N	 	 
10050	7	Y	2	3400
10050	8	Y	7	1800
10050	9	Y	1	3000
10050	10	N	 	 
10050	11	Y	1	4000
10050	12	Y	1	6000
10050	13	Y	1	350
10050	14	N	 	 
10050	15	Y	1	400
10050	16	N	 	 
10050	17	N	 	 
10050	18	N	 	 
10050	20	Y	1	3000
10050	21	Y	1	2000
10051	1	Y	1	1000
10051	2	Y	1	1000
10051	3	N	 	 
10051	4	N	 	 
10051	5	N	 	 
10051	6	Y	1	150
10051	7	Y	5	4000
10051	8	Y	2	300
10051	9	N	 	 
10051	10	N	 	 
10051	11	N	 	 
10051	12	Y	1	3000
10051	13	Y	2	1000
10051	14	N	 	 
10051	15	N	 	 
10051	16	N	 	 
10051	17	N	 	 
10051	18	N	 	 
10051	20	N	 	 
10051	21	N	 	 
10052	1	Y	1	1000
10052	2	Y	1	500
10052	3	N	 	 
10052	4	N	 	 
10052	5	N	 	 
10052	6	N	 	 
10052	7	Y	1	300
10052	8	N	 	 
10052	9	N	 	 
10052	10	N	 	 
10052	11	N	 	 
10052	12	Y	1	6000
10052	13	Y	2	800
10052	14	N	 	 
10052	15	N	 	 
10052	16	N	 	 
10052	17	N	 	 
10052	18	N	 	 
10052	20	N	 	 
10052	21	N	 	 
10053	1	Y	1	2000
10053	2	Y	1	300
10053	3	N	 	 
10053	4	N	 	 
10053	5	N	 	 
10053	6	N	 	 
10053	7	Y	2	800
10053	8	N	 	 
10053	9	N	 	 
10053	10	N	 	 
10053	11	Y	1	600
10053	12	N	 	 
10053	13	N	 	 
10053	14	N	 	 
10053	15	N	 	 
10053	16	N	 	 
10053	17	N	 	 
10053	18	N	 	 
10053	20	N	 	 
10053	21	N	 	 
10055	1	Y	1	1500
10055	2	N	 	 
10055	3	N	 	 
10055	4	N	 	 
10055	5	N	 	 
10055	6	N	 	 
10055	7	Y	2	2000
10055	8	Y	3	200
10055	9	Y	5	2500
10055	10	N	 	 
10055	11	Y	4	6000
10055	12	N	 	 
10055	13	Y	1	200
10055	14	N	 	 
10055	15	Y	1	900
10055	16	N	 	 
10055	17	N	 	 
10055	18	N	 	 
10055	20	N	 	 
10055	21	N	 	 
10057	1	Y	1	2500
10057	2	N	 	 
10057	3	N	 	 
10057	4	N	 	 
10057	5	N	 	 
10057	6	N	 	 
10057	7	Y	1	300
10057	8	Y	4	700
10057	9	N	 	 
10057	10	N	 	 
10057	11	N	 	 
10057	12	N	 	 
10057	13	Y	1	450
10057	14	N	 	 
10057	15	Y	1	500
10057	16	N	 	 
10057	17	N	 	 
10057	18	N	 	 
10057	20	N	 	 
10057	21	Y	1	2000
10060	1	N	 	 
10060	2	N	 	 
10060	3	N	 	 
10060	4	N	 	 
10060	5	N	 	 
10060	6	N	 	 
10060	7	Y	4	2000
10060	8	N	 	 
10060	9	N	 	 
10060	10	N	 	 
10060	11	N	 	 
10060	12	N	 	 
10060	13	Y	1	200
10060	14	N	 	 
10060	15	N	 	 
10060	16	N	 	 
10060	17	N	 	 
10060	18	N	 	 
10060	20	N	 	 
10060	21	N	 	 
10061	1	Y	1	2000
10061	2	N	 	 
10061	3	N	 	 
10061	4	N	 	 
10061	5	N	 	 
10061	6	N	 	 
10061	7	Y	2	2000
10061	8	Y	2	400
10061	9	N	 	 
10061	10	N	 	 
10061	11	Y	2	3000
10061	12	Y	1	3500
10061	13	Y	2	450
10061	14	N	 	 
10061	15	Y	1	350
10061	16	N	 	 
10061	17	N	 	 
10061	18	N	 	 
10061	20	N	 	 
10061	21	Y	1	3000
10062	1	Y	1	10000
10062	2	N	 	 
10062	3	N	 	 
10062	4	N	 	 
10062	5	N	 	 
10062	6	N	 	 
10062	7	Y	2	2200
10062	8	N	 	 
10062	9	N	 	 
10062	10	N	 	 
10062	11	Y	1	1200
10062	12	Y	1	6000
10062	13	Y	1	300
10062	14	Y	1	5000
10062	15	Y	1	2000
10062	16	N	 	 
10062	17	N	 	 
10062	18	Y	1	7000
10062	20	N	 	 
10062	21	N	 	 
10063	1	Y	1	12000
10063	2	Y	1	1500
10063	3	N	 	 
10063	4	N	 	 
10063	5	N	 	 
10063	6	N	 	 
10063	7	Y	3	400
10063	8	N	 	 
10063	9	Y	1	4500
10063	10	N	 	 
10063	11	Y	2	500
10063	12	Y	1	3000
10063	13	Y	1	150
10063	14	Y	1	1500
10063	15	Y	1	800
10063	16	N	 	 
10063	17	N	 	 
10063	18	N	 	 
10063	20	Y	1	5000
10063	21	Y	1	4000
10064	1	N	 	 
10064	2	N	 	 
10064	3	N	 	 
10064	4	N	 	 
10064	5	N	 	 
10064	6	N	 	 
10064	7	Y	1	400
10064	8	Y	4	400
10064	9	N	 	 
10064	10	N	 	 
10064	11	N	 	 
10064	12	N	 	 
10064	13	N	 	 
10064	14	N	 	 
10064	15	N	 	 
10064	16	N	 	 
10064	17	N	 	 
10064	18	N	 	 
10064	20	N	 	 
10064	21	N	 	 
10065	1	Y	1	24000
10065	2	N	 	 
10065	3	N	 	 
10065	4	N	 	 
10065	5	N	 	 
10065	6	N	 	 
10065	7	Y	2	2000
10065	8	Y	4	800
10065	9	N	 	 
10065	10	N	 	 
10065	11	Y	1	1500
10065	12	Y	1	5000
10065	13	Y	2	1800
10065	14	N	 	 
10065	15	Y	1	4000
10065	16	N	 	 
10065	17	N	 	 
10065	18	N	 	 
10065	20	Y	1	3500
10065	21	Y	1	5000
10066	1	N	 	 
10066	2	N	 	 
10066	3	N	 	 
10066	4	N	 	 
