CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
11095	13/08/2016	2	4	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11096	12/08/2016	2	3	2	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11097	12/08/2016	3	4	2	3	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	1	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11098	17/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11099	10/01/2017	2	8	2	2	31	31	31	 	15	 	 	0	 	 	 	5	1	1	0	1	0	0	1	1	1	0	 	0	 	0	 	 	 	0	 	1	1
11100	16/08/2016	1	6	8	1	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE01C01	0	 	 	 	0	 	1	1
21001	05/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C01	0	 	 	 	0	 	2	0
21002	05/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	1	1	 	1	PE02C01	0	 	 	 	0	 	2	0
21003	03/09/2016	2	3	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE02C01	0	 	 	 	0	 	2	0
21004	06/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	2	0
21005	05/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	2	0
21006	05/09/2016	2	7	2	2	31	31	31	 	20	 	 	0	 	 	 	1	1	0	 	 	 	 	1	1	1	0	 	1	PE02C02	0	 	 	 	0	 	2	1
21007	14/09/2016	2	5	1	2	31	31	31	 	20	 	 	1	1	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21008	09/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	0	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21009	09/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21010	04/09/2016	1	4	1	1	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21011	05/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21012	05/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21013	05/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21014	04/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21015	03/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21016	09/09/2016	2	3	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21017	06/09/2016	2	3	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21018	03/09/2016	1	4	1	2	31	31	31	 	20	 	 	1	1	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21019	04/09/2016	2	4	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21020	08/09/2016	2	8	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	1	0	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21021	03/09/2016	1	3	1	1	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21022	03/09/2016	2	6	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21023	05/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21024	04/09/2016	2	7	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	88	 	 	1	 	1	PE02C02	0	 	 	 	0	 	1	0
21025	06/09/2016	2	5	1	2	31	31	31	 	20	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE02C03	0	 	 	 	0	 	1	0
