CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
30004	2	47	 	2	2	2	2	88	88
30004	3	88	 	 	 	 	 	 	 
30005	1	36	 	 	 	2	9	88	88
30005	2	88	 	 	 	 	 	 	 
30005	3	88	 	 	 	 	 	 	 
30006	1	39	2	 	 	 	16	88	88
30006	2	88	 	 	 	 	 	 	 
30006	3	88	 	 	 	 	 	 	 
30007	1	39	 	 	4	 	9	10	88
30007	2	88	 	 	 	 	 	 	 
30007	3	88	 	 	 	 	 	 	 
30008	1	61	 	 	2	 	17	88	88
30008	2	47	 	2	2	2	2	88	88
30008	3	88	 	 	 	 	 	 	 
30009	1	36	 	 	 	4	16	17	88
30009	2	42	 	 	2	2	16	17	88
30009	3	16	 	2	2	2	16	17	88
30010	1	88	 	 	 	 	 	 	 
30010	2	88	 	 	 	 	 	 	 
30010	3	88	 	 	 	 	 	 	 
30011	1	88	 	 	 	 	 	 	 
30011	2	88	 	 	 	 	 	 	 
30011	3	88	 	 	 	 	 	 	 
30012	1	37	 	 	2	 	16	88	88
30012	2	88	 	 	 	 	 	 	 
30012	3	88	 	 	 	 	 	 	 
30013	1	36	 	 	 	2	16	88	88
30013	2	88	 	 	 	 	 	 	 
30013	3	88	 	 	 	 	 	 	 
30014	1	47	 	2	 	 	7	88	88
30014	2	88	 	 	 	 	 	 	 
30014	3	88	 	 	 	 	 	 	 
30015	1	16	 	 	 	2	2	88	88
30015	2	38	 	 	 	2	2	88	88
30015	3	88	 	 	 	 	 	 	 
30016	1	42	 	 	2	 	16	88	77
30016	2	88	 	 	 	 	 	 	 
30016	3	88	 	 	 	 	 	 	 
30017	1	88	 	 	 	 	 	 	 
30017	2	88	 	 	 	 	 	 	 
30017	3	88	 	 	 	 	 	 	 
30018	1	42	 	 	3	 	16	88	88
30018	2	88	 	 	 	 	 	 	 
30018	3	88	 	 	 	 	 	 	 
30019	1	36	 	 	 	4	17	16	88
30019	2	47	 	2	2	2	2	88	88
30019	3	88	 	 	 	 	 	 	 
30020	1	88	 	 	 	 	 	 	 
30020	2	88	 	 	 	 	 	 	 
30020	3	88	 	 	 	 	 	 	 
30021	1	45	 	 	 	2	16	88	88
30021	2	88	 	 	 	 	 	 	 
30021	3	88	 	 	 	 	 	 	 
30022	1	39	 	 	3	 	16	88	88
30022	2	88	 	 	 	 	 	 	 
30022	3	88	 	 	 	 	 	 	 
30023	1	61	 	 	1	 	88	88	88
30023	2	88	 	 	 	 	 	 	 
30023	3	88	 	 	 	 	 	 	 
30024	1	39	 	 	3	 	9	88	88
30024	2	88	 	 	 	 	 	 	 
30024	3	88	 	 	 	 	 	 	 
