CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
10060	10	1	2
10060	11	1	3
10060	12	0	 
10060	13	1	1
10060	14	0	 
10060	15	0	 
10060	16	0	 
10060	17	0	 
10060	18	0	 
10060	19	0	 
10060	20	0	 
10062	1	1	1
10062	2	0	 
10062	3	0	 
10062	4	0	 
10062	5	1	1
10062	6	0	 
10062	7	1	1
10062	8	1	2
10062	9	0	 
10062	10	1	1
10062	11	1	1
10062	12	0	 
10062	13	1	1
10062	14	0	 
10062	15	0	 
10062	16	0	 
10062	17	0	 
10062	18	0	 
10062	19	0	 
10062	20	0	 
10063	1	1	1
10063	2	0	 
10063	3	0	 
10063	4	0	 
10063	5	1	2
10063	6	0	 
10063	7	1	2
10063	8	1	2
10063	9	0	 
10063	10	1	2
10063	11	1	2
10063	12	0	 
10063	13	1	1
10063	14	0	 
10063	15	0	 
10063	16	0	 
10063	17	0	 
10063	18	0	 
10063	19	0	 
10063	20	0	 
10064	1	1	1
10064	2	0	 
10064	3	0	 
10064	4	0	 
10064	5	1	1
10064	6	0	 
10064	7	1	2
10064	8	1	5
10064	9	0	 
10064	10	1	3
10064	11	1	4
10064	12	1	1
10064	13	1	1
10064	14	0	 
10064	15	0	 
10064	16	0	 
10064	17	0	 
10064	18	0	 
10064	19	0	 
10064	20	0	 
10065	1	1	1
10065	2	0	 
10065	3	0	 
10065	4	0	 
10065	5	1	2
10065	6	0	 
10065	7	1	1
10065	8	1	3
10065	9	0	 
10065	10	1	2
10065	11	1	1
10065	12	1	1
10065	13	1	1
10065	14	0	 
10065	15	0	 
10065	16	0	 
10065	17	0	 
10065	18	0	 
10065	19	0	 
10065	20	0	 
10066	1	1	1
10066	2	0	 
10066	3	0	 
10066	4	0	 
10066	5	0	 
10066	6	0	 
10066	7	1	3
10066	8	1	3
10066	9	1	1
10066	10	1	3
10066	11	1	2
10066	12	1	1
10066	13	1	1
10066	14	0	 
10066	15	0	 
10066	16	0	 
10066	17	0	 
10066	18	0	 
10066	19	0	 
10066	20	0	 
10067	1	1	1
10067	2	0	 
10067	3	0	 
10067	4	1	1
10067	5	1	1
10067	6	0	 
10067	7	1	2
10067	8	1	3
10067	9	0	 
10067	10	1	2
10067	11	1	1
10067	12	1	1
10067	13	1	1
10067	14	0	 
10067	15	0	 
10067	16	0	 
10067	17	0	 
10067	18	0	 
10067	19	0	 
10067	20	0	 
10068	1	0	 
10068	2	0	 
10068	3	0	 
10068	4	0	 
10068	5	1	2
10068	6	0	 
10068	7	0	 
10068	8	1	2
10068	9	0	 
10068	10	1	1
10068	11	1	1
10068	12	0	 
10068	13	1	1
10068	14	0	 
10068	15	0	 
10068	16	0	 
10068	17	0	 
10068	18	0	 
10068	19	0	 
10068	20	0	 
10069	1	0	 
10069	2	0	 
10069	3	0	 
10069	4	0	 
10069	5	1	1
10069	6	0	 
10069	7	0	 
10069	8	1	2
10069	9	0	 
10069	10	1	1
10069	11	1	1
10069	12	0	 
10069	13	1	1
10069	14	0	 
10069	15	0	 
10069	16	0	 
10069	17	0	 
10069	18	0	 
10069	19	0	 
10069	20	0	 
10070	1	1	1
10070	2	0	 
10070	3	0	 
10070	4	0	 
10070	5	1	1
10070	6	0	 
10070	7	1	2
10070	8	1	4
10070	9	0	 
10070	10	1	2
10070	11	1	2
10070	12	1	1
10070	13	1	1
10070	14	0	 
10070	15	0	 
10070	16	0	 
10070	17	0	 
10070	18	0	 
10070	19	0	 
10070	20	0	 
10071	1	0	 
10071	2	0	 
10071	3	0	 
10071	4	0	 
10071	5	1	2
10071	6	0	 
10071	7	1	1
10071	8	1	2
10071	9	0	 
10071	10	1	1
10071	11	1	2
10071	12	0	 
10071	13	1	1
10071	14	0	 
10071	15	0	 
10071	16	0	 
10071	17	0	 
10071	18	0	 
10071	19	0	 
10071	20	0	 
10072	1	1	1
10072	2	0	 
10072	3	0	 
10072	4	0	 
10072	5	0	 
10072	6	0	 
10072	7	1	2
10072	8	1	4
10072	9	0	 
10072	10	1	2
10072	11	1	3
10072	12	0	 
10072	13	1	1
