CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
70001	3	3	1	11	0	0
70002	1	1	4	11	4	700
70002	2	1	2	29	2	350
70003	1	1	7	11	7	2300
70003	2	21	2	21	2	7500
70004	1	1	2	11	2	200
70004	2	7	1	11	0	0
70004	3	3	1	11	0	0
70004	4	24	1	23	1	30000
70005	1	1	2	11	2	300
70005	2	7	1	11	0	0
70005	3	3	1	11	0	0
70006	1	7	1	11	0	0
70006	2	1	3	11	3	1500
70006	3	6	1	11	0	0
70007	1	12	5	8	5	4000
70010	1	1	3	11	3	240
70010	2	1	1	29	1	80
70012	1	13	4	7	2	5000
70012	2	1	5	11	5	2000
70013	1	1	4	11	4	1200
70013	2	7	1	11	0	0
70014	1	1	2	11	2	200
70016	1	1	2	5	2	500
70017	1	1	6	11	6	1200
70017	2	4	3	11	3	2500
70017	3	3	1	11	0	0
70018	1	13	8	4	5	10000
70019	1	1	3	11	3	600
70020	1	1	4	11	4	1200
70020	2	7	1	11	0	0
70020	3	21	1	21	1	3000
70021	1	1	1	8	1	250
70021	2	3	1	13	0	0
70021	3	4	1	13	0	0
70022	1	13	2	7	0	0
70023	1	1	3	11	3	900
70024	1	1	6	11	6	1800
70024	2	21	1	21	1	10000
70025	1	30	2	26	2	700
70025	2	30	2	26	2	1200
70026	1	 	 	 	 	 
70026	2	 	 	 	 	 
70026	3	 	 	 	 	 
70027	1	7	1	11	0	0
70027	2	2	1	11	0	0
70027	3	21	1	21	1	2000
70028	1	1	10	11	10	15000
70028	2	7	1	11	0	0
70028	3	6	1	11	0	0
70029	1	1	5	11	5	2000
70029	2	3	1	11	0	0
70029	3	7	1	11	0	0
70030	1	1	3	11	3	1500
70030	2	7	1	11	0	0
70030	3	4	1	11	1	2000
70030	4	3	1	11	0	0
70031	1	1	5	11	5	650
70032	1	1	6	11	6	1200
70033	1	1	3	11	3	1000
70033	2	7	1	11	0	0
70033	3	6	1	11	0	0
70033	4	3	1	11	0	0
70034	1	1	5	11	5	1200
70034	2	3	0	11	0	0
70034	3	7	1	11	0	0
70035	1	15	15	12	15	8000
70036	1	1	9	11	9	2000
70036	2	3	1	11	0	0
70036	3	7	1	11	0	0
70038	1	30	2	26	2	200
70039	1	8	1	5	1	2000
70040	1	30	10	7	10	4000
70041	1	23	4	23	4	3000
70042	1	1	2	11	2	1200
70042	2	4	1	11	0	 
70043	1	4	1	11	0	0
70043	2	7	1	11	0	0
70043	3	1	1	11	1	300
70045	1	1	3	11	3	1000
70045	2	7	1	11	0	 
70045	3	3	3	11	3	1000
70045	4	7	1	11	0	 
70045	5	3	1	11	0	 
70046	1	1	5	11	5	2000
70046	2	7	1	11	0	0
70046	3	6	1	11	0	0
70048	1	1	1	29	1	100
70050	1	1	10	11	5	2000
70050	2	3	1	11	0	0
70050	3	7	1	11	0	0
70051	1	1	8	11	8	1640
70051	2	4	1	11	1	300
70051	3	7	1	11	0	0
70051	4	6	1	11	0	0
70051	5	3	1	11	1	1300
70052	1	1	4	11	4	700
70052	2	23	3	23	3	500
70054	1	 	 	 	 	 
70055	1	2	1	11	1	15000
70055	2	4	1	11	1	200
70055	3	3	1	11	0	0
70055	4	1	5	11	5	1000
70055	5	7	1	11	0	0
70055	6	30	1	26	1	300000
70056	1	1	6	11	6	800
70056	2	30	1	26	1	1500
70057	1	30	3	5	3	800
70058	1	1	5	11	5	1000
70058	2	3	1	11	0	0
70058	3	7	1	11	0	0
70059	1	1	2	11	2	800
70059	2	7	1	11	0	0
70059	3	8	1	11	0	0
70060	1	23	5	23	5	10000
70060	2	1	2	5	2	1000
70061	1	1	10	11	10	2000
70061	2	3	1	11	0	0
70061	3	7	1	11	0	0
70061	4	6	1	11	0	0
70062	1	1	5	11	5	500
70062	2	7	1	11	0	0
70063	1	1	3	11	3	800
70063	2	5	1	11	0	0
70063	3	4	1	11	0	0
70063	5	7	1	11	0	0
70064	1	1	5	11	5	5000
70064	2	6	1	11	0	0
70064	3	7	1	11	0	0
70065	1	1	4	11	4	1200
