childid	donfdid	dontypr3	donrcvr3	donamtr3	donmsrr3	donprcr3	prcmsrr3
PE168003	4	6	12	1	2	3	2
PE168003	5	5	12	.5	1	3	1
PE168004	1	1	12	7	6	1.20000004768372	6
PE168004	2	2	12	2	2	2	2
PE168004	3	4	12	3	2	2	2
PE168004	4	5	4	2	3	1.5	3
PE168004	5	8	4	2	2	2.5	2
PE168004	6	6	4	1	2	3	2
PE168004	7	10	120	1	9	1	9
PE168005	1	10	300	3	9	2.5	9
PE168006	1	10	160	1	9	3	9
PE168007	1	1	4	7	6	1.20000004768372	6
PE168007	2	3	4	2	2	3	2
PE168007	3	10	160	1	9	1	9
PE168008	1	10	55	1	9	1	9
PE168008	2	1	95	1	8	.5	8
PE168009	1	10	150	3	9	2	9
PE168009	2	1	150	3	8	.5	8
PE168010	1	1	4	10	6	2.5	6
PE168010	2	8	4	4	2	3.5	2
PE168010	3	10	320	2	8	.5	8
PE168010	4	9	320	2	7	.5	7
PE168011	1	1	180	1	8	1	8
PE168011	2	10	180	1	9	2.5	9
PE168012	1	1	4	2	2	2	2
PE168012	2	1	4	7	6	1.20000004768372	6
PE168012	3	10	300	1	9	3	9
PE168012	4	1	86	1	8	.5	8
PE168012	5	1	86	1	8	.5	8
PE168013	1	1	160	2	8	.5	8
PE168013	2	10	160	2	9	1	9
PE168015	1	1	12	3	6	1.20000004768372	6
PE168015	2	8	12	2	2	2	2
PE168016	1	1	140	1	8	.300000011920929	8
PE168016	2	10	80	1	9	1	9
PE168018	1	10	1	1	9	2	9
PE168019	1	1	6	3	2	2	2
PE168019	2	1	6	4	6	1.20000004768372	6
PE168019	3	10	100	2	8	.5	8
PE168019	4	10	100	3	9	1.5	9
PE168020	1	1	170	3	8	.5	8
PE168020	2	9	170	3	7	.300000011920929	7
PE168020	3	1	6	3	6	1.20000004768372	6
PE168020	4	8	6	1	2	4	2
PE168020	5	10	200	1	9	1.5	9
PE168021	1	4	12	2	2	2	2
PE168021	2	5	12	1	1	7	1
PE168021	3	8	12	2	2	2	2
PE168021	4	6	12	2	2	1	2
PE168021	5	6	12	1	4	.5	4
PE168022	1	1	12	4	6	2.5	6
PE168022	2	10	180	1	9	3	9
