childid	orgid	orgcode	orgyrs	orgmths
PE051086	1	6	5	0
PE051087	1	6	4	0
PE051088	1	11	0	6
PE051089	1	6	17	0
PE051089	2	11	17	0
PE051090	1	6	15	0
PE051091	1	6	5	6
PE051091	2	13	2	0
PE051092	1	12	0	0
PE051094	1	6	9	0
PE051094	2	11	3	0
PE051099	1	6	5	0
PE051099	2	13	2	0
PE051100	1	6	5	0
PE051102	1	6	6	0
PE051102	2	11	2	0
PE051103	1	6	10	0
PE051103	2	11	2	0
PE051104	1	11	4	0
PE061001	1	6	1	0
PE061001	2	11	6	0
PE061002	1	6	1	0
PE061003	1	6	1	0
PE061004	1	6	21	0
PE061005	1	6	1	1
PE061006	1	6	1	0
PE061009	1	6	0	2
PE061012	1	6	1	0
PE061013	1	6	5	0
PE061016	1	8	0	1
PE061018	1	6	1	0
PE061021	1	12	1	0
PE061022	1	6	6	0
PE061023	1	6	5	0
PE061027	1	6	1	0
PE061032	1	6	6	1
PE061034	1	6	0	6
PE061036	1	6	2	0
PE061043	1	6	1	0
PE061045	1	6	3	0
PE061049	1	6	2	0
PE061050	1	6	3	0
PE061050	2	11	0	10
PE061050	3	12	0	10
PE061052	1	12	0	7
PE061054	1	6	2	0
PE061063	1	6	10	0
PE061070	1	6	1	0
PE061073	1	12	6	0
PE061074	1	6	1	0
PE061075	1	12	0	9
PE061075	2	13	0	9
PE061077	1	6	3	4
PE061077	2	9	1	0
PE061077	3	8	1	0
PE061082	1	6	0	5
PE061083	1	13	1	0
PE061083	2	6	1	0
PE061085	1	13	4	0
PE061085	2	6	4	0
PE061086	1	6	9	0
PE061092	1	12	1	6
PE061093	1	6	1	1
PE061094	1	8	4	2
PE061094	2	6	2	0
PE061095	1	6	5	0
PE061096	1	6	2	0
PE061097	1	12	1	0
PE061097	2	6	1	0
PE061100	1	6	1	6
PE061103	1	6	2	0
PE071003	1	6	5	0
PE071009	1	6	1	6
PE071014	1	13	1	0
PE071019	1	6	5	0
PE071026	1	6	1	0
PE071028	1	6	0	7
PE071033	1	6	4	0
PE071034	1	6	1	0
PE071035	1	6	5	0
PE071036	1	6	2	0
PE071036	2	12	1	0
PE071038	1	6	2	0
PE071042	1	6	5	0
PE071045	1	6	11	0
PE071046	1	6	5	4
PE071047	1	6	1	0
PE071054	1	6	0	5
PE071054	2	12	1	0
PE071055	1	6	14	0
PE071056	1	6	10	0
PE071057	1	6	3	0
PE071059	1	6	5	4
PE071061	1	6	5	0
PE071066	1	1	0	4
PE071071	1	6	0	2
PE071073	1	6	5	0
PE071074	1	6	7	0
PE071078	1	6	1	0
PE071081	1	6	5	0
PE071082	1	1	3	0
PE071082	2	6	0	3
PE071083	1	10	2	0
PE071083	2	13	1	0
PE071083	3	1	0	2
PE071084	1	6	4	0
PE071086	1	13	0	5
PE071086	2	10	0	5
PE071096	1	6	4	0
PE071098	1	6	12	0
PE071100	1	6	8	0
PE071101	1	11	2	0
PE071101	2	12	2	0
PE071102	1	13	2	0
PE071102	2	13	2	0
PE071103	1	6	5	0
PE071105	1	13	0	0
PE071106	1	6	8	0
PE081002	1	6	3	0
PE081004	1	6	0	8
PE081009	1	6	2	6
PE081011	1	10	4	0
PE081013	1	6	0	7
PE081015	1	6	7	0
PE081018	1	6	1	6
PE081022	1	10	6	0
PE081023	1	6	6	0
PE081029	1	5	0	3
PE081032	1	10	6	1
PE081033	1	6	0	7
PE081034	1	6	3	0
PE081034	2	13	6	0
PE081035	1	6	0	1
PE081046	1	6	0	2
PE081048	1	13	0	6
PE081053	1	10	4	0
PE081063	1	6	3	0
PE081067	1	6	5	0
PE081073	1	6	3	0
PE081073	2	11	0	4
PE081078	1	6	0	5
PE081080	1	6	1	0
PE081087	1	10	0	3
PE091001	1	6	9	0
PE091001	2	13	3	0
PE091002	1	6	5	0
PE091002	2	13	4	0
PE091003	1	13	7	0
PE091003	2	6	10	0
PE091004	1	6	2	0
PE091004	2	13	0	4
PE091005	1	6	10	0
PE091006	1	6	18	0
PE091006	2	13	5	0
PE091007	1	6	6	0
PE091008	1	6	13	0
PE091010	1	6	5	0
PE091010	2	13	3	0
PE091011	1	6	3	0
PE091012	1	6	6	0
PE091013	1	5	3	0
PE091013	2	6	5	0
PE091014	1	6	13	0
PE091014	2	13	4	0
PE091015	1	6	4	0
PE091015	2	13	2	0
PE091016	1	6	7	0
PE091018	1	6	6	0
PE091019	1	6	10	0
PE091020	1	6	15	0
PE091020	2	13	10	0
PE091022	1	6	15	0
PE091022	2	12	0	8
PE091023	1	6	4	0
PE091024	1	6	4	0
PE091025	1	6	5	0
PE091025	2	13	0	4
PE091026	1	6	6	0
PE091027	1	13	0	9
PE091028	1	6	5	0
