CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
31046	1	1	200	6	1200
31046	2	0	 	 	 
31046	3	0	 	 	 
31047	1	1	200	6	1200
31047	2	0	 	 	 
31047	3	0	 	 	 
31048	1	1	200	3	600
31048	2	0	 	 	 
31048	3	0	 	 	 
31049	1	1	200	6	1200
31049	2	0	 	 	 
31049	3	0	 	 	 
31050	1	1	200	6	1200
31050	2	0	 	 	 
31050	3	0	 	 	 
31051	1	0	 	 	 
31051	2	0	 	 	 
31051	3	0	 	 	 
31052	1	1	200	6	1200
31052	2	0	 	 	 
31052	3	0	 	 	 
31053	1	0	 	 	 
31053	2	0	 	 	 
31053	3	0	 	 	 
31054	1	0	 	 	 
31054	2	0	 	 	 
31054	3	0	 	 	 
31055	1	1	200	6	1200
31055	2	0	 	 	 
31055	3	0	 	 	 
31056	1	0	 	 	 
31056	2	0	 	 	 
31056	3	0	 	 	 
31057	1	1	200	6	1200
31057	2	0	 	 	 
31057	3	0	 	 	 
31058	1	0	 	 	 
31058	2	0	 	 	 
31058	3	0	 	 	 
31059	1	1	200	6	1200
31059	2	0	 	 	 
31059	3	0	 	 	 
31060	1	1	200	6	1200
31060	2	0	 	 	 
31060	3	0	 	 	 
31061	1	1	200	6	1200
31061	2	0	 	 	 
31061	3	0	 	 	 
31062	1	1	200	5	1000
31062	2	0	 	 	 
31062	3	0	 	 	 
31063	1	1	200	6	1200
31063	2	0	 	 	 
31063	3	0	 	 	 
31064	1	1	200	6	1200
31064	2	0	 	 	 
31064	3	0	 	 	 
31065	1	0	 	 	 
31065	2	0	 	 	 
31065	3	1	300	12	3600
31066	1	1	200	6	1200
31066	2	0	 	 	 
31066	3	0	 	 	 
31067	1	0	 	 	 
31067	2	0	 	 	 
31067	3	0	 	 	 
31068	1	1	200	6	1200
31068	2	0	 	 	 
31068	3	0	 	 	 
31069	1	1	200	6	1200
31069	2	0	 	 	 
31069	3	0	 	 	 
31070	1	1	200	6	1200
31070	2	1	250	2	500
31070	3	0	 	 	 
31071	1	1	200	5	1000
31071	2	0	 	 	 
31071	3	0	 	 	 
31072	1	1	200	6	1200
31072	2	0	 	 	 
31072	3	0	 	 	 
31073	1	1	200	6	1200
31073	2	0	 	 	 
31073	3	0	 	 	 
31074	1	 	 	 	 
31074	2	 	 	 	 
31074	3	 	 	 	 
31075	1	1	200	6	1200
31075	2	0	 	 	 
31075	3	0	 	 	 
31076	1	1	200	6	1200
31076	2	0	 	 	 
31076	3	0	 	 	 
31077	1	1	200	6	1200
31077	2	0	 	 	 
31077	3	1	30	12	360
31078	1	1	200	6	1200
31078	2	1	250	6	1500
31078	3	0	 	 	 
31079	1	1	200	6	1200
31079	2	0	 	 	 
31079	3	0	 	 	 
31080	1	0	 	 	 
31080	2	0	 	 	 
31080	3	0	 	 	 
31081	1	1	200	6	1200
31081	2	0	 	 	 
31081	3	0	 	 	 
31082	1	0	 	 	 
31082	2	0	 	 	 
31082	3	0	 	 	 
31083	1	1	6	200	1200
31083	2	0	 	 	 
31083	3	0	 	 	 
31084	1	1	6	200	1200
31084	2	0	 	 	 
31084	3	0	 	 	 
31085	1	1	200	6	1200
31085	2	0	 	 	 
31085	3	0	 	 	 
31086	1	1	200	6	1200
31086	2	0	 	 	 
31086	3	0	 	 	 
31087	1	1	200	6	1200
31087	2	0	 	 	 
31087	3	1	30	12	360
31088	1	1	200	6	1200
31088	2	0	 	 	 
31088	3	0	 	 	 
31089	1	1	200	6	1200
31089	2	0	 	 	 
31089	3	0	 	 	 
31090	1	1	200	6	1200
31090	2	0	 	 	 
31090	3	0	 	 	 
31091	1	1	200	6	1200
31091	2	0	 	 	 
31091	3	0	 	 	 
31092	1	1	200	6	1200
31092	2	0	 	 	 
31092	3	0	 	 	 
31093	1	1	200	6	1200
31093	2	0	 	 	 
31093	3	0	 	 	 
