CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
11040	23	0	 	 
11040	24	0	 	 
11040	25	0	 	 
11040	26	0	 	 
11040	27	0	 	 
11040	28	0	 	 
11040	29	0	 	 
11040	30	0	 	 
11040	31	0	 	 
11041	1	0	 	 
11041	2	1	300	 
11041	3	1	150	0
11041	4	1	150	4
11041	5	0	 	 
11041	6	0	 	 
11041	7	1	50	0
11041	8	0	 	 
11041	9	1	75	4
11041	10	1	75	0
11041	11	0	 	 
11041	12	1	15	2
11041	13	0	 	 
11041	15	1	90	2
11041	16	1	48	2
11041	17	0	 	 
11041	18	0	 	 
11041	19	0	 	 
11041	20	0	 	 
11041	21	0	 	 
11041	22	0	 	 
11041	23	0	 	 
11041	24	0	 	 
11041	25	0	 	 
11041	26	0	 	 
11041	27	0	 	 
11041	28	0	 	 
11041	29	0	 	 
11041	30	0	 	 
11041	31	0	 	 
11042	1	0	 	 
11042	2	0	 	 
11042	3	1	30	0
11042	4	1	30	4
11042	5	0	 	 
11042	6	0	 	 
11042	7	0	 	 
11042	8	0	 	 
11042	9	1	200	4
11042	10	1	300	0
11042	11	0	 	 
11042	12	1	25	2
11042	13	0	 	 
11042	15	1	300	1
11042	16	0	 	 
11042	17	0	 	 
11042	18	0	 	 
11042	19	0	 	 
11042	20	0	 	 
11042	21	0	 	 
11042	22	0	 	 
