CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	VLAMR5
11047	2	 	 	 
11047	6	 	 	 
11047	9	 	 	 
11047	13	 	 	 
11047	14	 	 	 
11047	15	 	 	 
11047	16	 	 	 
11047	17	 	 	 
11047	51	 	 	 
11047	52	 	 	 
11047	53	 	 	 
11047	54	 	 	 
11047	55	 	 	 
11047	56	 	 	 
11047	57	 	 	 
11047	58	 	 	 
11048	1	 	 	 
11048	2	 	 	 
11048	6	 	 	 
11048	9	 	 	 
11048	13	 	 	 
11048	14	 	 	 
11048	15	 	 	 
11048	16	 	 	 
11048	17	 	 	 
11048	51	 	 	 
11048	52	 	 	 
11048	53	 	 	 
11048	54	 	 	 
11048	55	 	 	 
11048	56	 	 	 
11048	57	 	 	 
11048	58	 	 	 
11049	1	 	 	 
11049	2	 	 	 
11049	6	 	 	 
11049	9	 	 	 
11049	13	 	 	 
11049	14	 	 	 
11049	15	 	 	 
11049	16	 	 	 
11049	17	 	 	 
11049	51	 	 	 
11049	52	 	 	 
11049	53	 	 	 
11049	54	 	 	 
11049	55	 	 	 
11049	56	 	 	 
11049	57	 	 	 
11049	58	 	 	 
11050	1	0	 	 
11050	2	0	 	 
11050	6	0	 	 
11050	9	0	 	 
11050	13	0	 	 
11050	14	0	 	 
11050	15	0	 	 
11050	16	1	4	130
11050	17	0	 	 
11050	51	0	 	 
11050	52	0	 	 
11050	53	0	 	 
11050	54	0	 	 
11050	55	0	 	 
11050	56	0	 	 
11050	57	0	 	 
11050	58	0	 	 
11051	1	0	 	 
11051	2	0	 	 
11051	6	0	 	 
11051	9	0	 	 
11051	13	0	 	 
11051	14	0	 	 
11051	15	0	 	 
11051	16	1	3	50
11051	17	0	 	 
11051	51	0	 	 
11051	52	0	 	 
11051	53	0	 	 
11051	54	0	 	 
11051	55	0	 	 
11051	56	0	 	 
11051	57	0	 	 
11051	58	0	 	 
11052	1	 	 	 
11052	2	 	 	 
11052	6	 	 	 
11052	9	 	 	 
11052	13	 	 	 
11052	14	 	 	 
11052	15	 	 	 
11052	16	 	 	 
11052	17	 	 	 
11052	51	 	 	 
11052	52	 	 	 
11052	53	 	 	 
11052	54	 	 	 
11052	55	 	 	 
11052	56	 	 	 
11052	57	 	 	 
11052	58	 	 	 
11053	1	 	 	 
11053	2	 	 	 
11053	6	 	 	 
11053	9	 	 	 
11053	13	 	 	 
11053	14	 	 	 
11053	15	 	 	 
11053	16	 	 	 
11053	17	 	 	 
11053	51	 	 	 
11053	52	 	 	 
11053	53	 	 	 
11053	54	 	 	 
11053	55	 	 	 
11053	56	 	 	 
11053	57	 	 	 
11053	58	 	 	 
11054	1	0	 	 
11054	2	0	 	 
11054	6	0	 	 
11054	9	0	 	 
11054	13	0	 	 
11054	14	0	 	 
11054	15	0	 	 
11054	16	1	6	250
11054	17	0	 	 
11054	51	0	 	 
11054	52	0	 	 
11054	53	0	 	 
11054	54	0	 	 
11054	55	0	 	 
11054	56	0	 	 
11054	57	0	 	 
11054	58	0	 	 
11055	1	 	 	 
11055	2	 	 	 
11055	6	 	 	 
11055	9	 	 	 
11055	13	 	 	 
11055	14	 	 	 
11055	15	 	 	 
11055	16	 	 	 
11055	17	 	 	 
11055	51	 	 	 
11055	52	 	 	 
11055	53	 	 	 
11055	54	 	 	 
11055	55	 	 	 
11055	56	 	 	 
11055	57	 	 	 
11055	58	 	 	 
11056	1	 	 	 
11056	2	 	 	 
11056	6	 	 	 
11056	9	 	 	 
11056	13	 	 	 
11056	14	 	 	 
11056	15	 	 	 
11056	16	 	 	 
11056	17	 	 	 
11056	51	 	 	 
11056	52	 	 	 
11056	53	 	 	 
11056	54	 	 	 
11056	55	 	 	 
11056	56	 	 	 
11056	57	 	 	 
11056	58	 	 	 
11057	1	 	 	 
11057	2	 	 	 
11057	6	 	 	 
11057	9	 	 	 
11057	13	 	 	 
11057	14	 	 	 
11057	15	 	 	 
11057	16	 	 	 
11057	17	 	 	 
11057	51	 	 	 
11057	52	 	 	 
11057	53	 	 	 
11057	54	 	 	 
11057	55	 	 	 
11057	56	 	 	 
11057	57	 	 	 
11057	58	 	 	 
11059	1	 	 	 
11059	2	 	 	 
11059	6	 	 	 
11059	9	 	 	 
11059	13	 	 	 
11059	14	 	 	 
11059	15	 	 	 
11059	16	 	 	 
11059	17	 	 	 
11059	51	 	 	 
11059	52	 	 	 
11059	53	 	 	 
11059	54	 	 	 
11059	55	 	 	 
11059	56	 	 	 
11059	57	 	 	 
11059	58	 	 	 
11060	1	 	 	 
11060	2	 	 	 
11060	6	 	 	 
11060	9	 	 	 
11060	13	 	 	 
11060	14	 	 	 
11060	15	 	 	 
11060	16	 	 	 
11060	17	 	 	 
11060	51	 	 	 
11060	52	 	 	 
11060	53	 	 	 
11060	54	 	 	 
11060	55	 	 	 
11060	56	 	 	 
11060	57	 	 	 
11060	58	 	 	 
11061	1	 	 	 
11061	2	 	 	 
11061	6	 	 	 
11061	9	 	 	 
11061	13	 	 	 
11061	14	 	 	 
11061	15	 	 	 
11061	16	 	 	 
11061	17	 	 	 
11061	51	 	 	 
11061	52	 	 	 
11061	53	 	 	 
11061	54	 	 	 
11061	55	 	 	 
11061	56	 	 	 
11061	57	 	 	 
11061	58	 	 	 
11062	1	 	 	 
11062	2	 	 	 
11062	6	 	 	 
11062	9	 	 	 
11062	13	 	 	 
11062	14	 	 	 
11062	15	 	 	 
11062	16	 	 	 
11062	17	 	 	 
11062	51	 	 	 
11062	52	 	 	 
11062	53	 	 	 
11062	54	 	 	 
11062	55	 	 	 
11062	56	 	 	 
11062	57	 	 	 
11062	58	 	 	 
11063	1	 	 	 
11063	2	 	 	 
11063	6	 	 	 
11063	9	 	 	 
11063	13	 	 	 
11063	14	 	 	 
11063	15	 	 	 
11063	16	 	 	 
11063	17	 	 	 
11063	51	 	 	 
11063	52	 	 	 
11063	53	 	 	 
11063	54	 	 	 
11063	55	 	 	 
11063	56	 	 	 
11063	57	 	 	 
11063	58	 	 	 
11064	1	 	 	 
11064	2	 	 	 
11064	6	 	 	 
11064	9	 	 	 
11064	13	 	 	 
11064	14	 	 	 
11064	15	 	 	 
11064	16	 	 	 
11064	17	 	 	 
11064	51	 	 	 
11064	52	 	 	 
11064	53	 	 	 
11064	54	 	 	 
11064	55	 	 	 
11064	56	 	 	 
11064	57	 	 	 
11064	58	 	 	 
11065	1	0	 	 
11065	2	0	 	 
11065	6	0	 	 
11065	9	0	 	 
11065	13	0	 	 
11065	14	0	 	 
11065	15	1	11	2350
11065	16	1	14	340
11065	17	0	 	 
11065	51	0	 	 
11065	52	0	 	 
11065	53	0	 	 
11065	54	0	 	 
11065	55	0	 	 
11065	56	0	 	 
11065	57	0	 	 
11065	58	0	 	 
11066	1	 	 	 
11066	2	 	 	 
11066	6	 	 	 
11066	9	 	 	 
11066	13	 	 	 
11066	14	 	 	 
11066	15	 	 	 
11066	16	 	 	 
11066	17	 	 	 
11066	51	 	 	 
11066	52	 	 	 
11066	53	 	 	 
11066	54	 	 	 
11066	55	 	 	 
11066	56	 	 	 
11066	57	 	 	 
11066	58	 	 	 
11067	1	 	 	 
11067	2	 	 	 
11067	6	 	 	 
11067	9	 	 	 
11067	13	 	 	 
11067	14	 	 	 
11067	15	 	 	 
11067	16	 	 	 
11067	17	 	 	 
11067	51	 	 	 
11067	52	 	 	 
11067	53	 	 	 
11067	54	 	 	 
11067	55	 	 	 
11067	56	 	 	 
11067	57	 	 	 
11067	58	 	 	 
11068	1	 	 	 
11068	2	 	 	 
11068	6	 	 	 
11068	9	 	 	 
11068	13	 	 	 
11068	14	 	 	 
11068	15	 	 	 
11068	16	 	 	 
11068	17	 	 	 
11068	51	 	 	 
11068	52	 	 	 
11068	53	 	 	 
11068	54	 	 	 
11068	55	 	 	 
11068	56	 	 	 
11068	57	 	 	 
11068	58	 	 	 
11069	1	 	 	 
11069	2	 	 	 
11069	6	 	 	 
11069	9	 	 	 
11069	13	 	 	 
11069	14	 	 	 
11069	15	 	 	 
11069	16	 	 	 
11069	17	 	 	 
11069	51	 	 	 
11069	52	 	 	 
11069	53	 	 	 
11069	54	 	 	 
11069	55	 	 	 
11069	56	 	 	 
11069	57	 	 	 
11069	58	 	 	 
11070	1	 	 	 
11070	2	 	 	 
11070	6	 	 	 
11070	9	 	 	 
11070	13	 	 	 
11070	14	 	 	 
11070	15	 	 	 
11070	16	 	 	 
11070	17	 	 	 
11070	51	 	 	 
11070	52	 	 	 
11070	53	 	 	 
11070	54	 	 	 
11070	55	 	 	 
11070	56	 	 	 
11070	57	 	 	 
11070	58	 	 	 
11071	1	0	 	 
11071	2	0	 	 
11071	6	0	 	 
11071	9	0	 	 
11071	13	0	 	 
11071	14	0	 	 
11071	15	0	 	 
11071	16	1	10	170
11071	17	0	 	 
11071	51	0	 	 
11071	52	0	 	 
11071	53	0	 	 
11071	54	0	 	 
11071	55	0	 	 
11071	56	0	 	 
11071	57	0	 	 
11071	58	0	 	 
11072	1	 	 	 
11072	2	 	 	 
11072	6	 	 	 
11072	9	 	 	 
11072	13	 	 	 
11072	14	 	 	 
11072	15	 	 	 
11072	16	 	 	 
11072	17	 	 	 
11072	51	 	 	 
11072	52	 	 	 
11072	53	 	 	 
11072	54	 	 	 
11072	55	 	 	 
11072	56	 	 	 
11072	57	 	 	 
11072	58	 	 	 
11073	1	 	 	 
11073	2	 	 	 
11073	6	 	 	 
11073	9	 	 	 
11073	13	 	 	 
11073	14	 	 	 
11073	15	 	 	 
11073	16	 	 	 
11073	17	 	 	 
11073	51	 	 	 
11073	52	 	 	 
11073	53	 	 	 
11073	54	 	 	 
11073	55	 	 	 
11073	56	 	 	 
11073	57	 	 	 
11073	58	 	 	 
11074	1	 	 	 
11074	2	 	 	 
11074	6	 	 	 
11074	9	 	 	 
11074	13	 	 	 
11074	14	 	 	 
11074	15	 	 	 
11074	16	 	 	 
11074	17	 	 	 
11074	51	 	 	 
11074	52	 	 	 
11074	53	 	 	 
11074	54	 	 	 
11074	55	 	 	 
11074	56	 	 	 
11074	57	 	 	 
11074	58	 	 	 
11075	1	 	 	 
11075	2	 	 	 
11075	6	 	 	 
11075	9	 	 	 
11075	13	 	 	 
11075	14	 	 	 
11075	15	 	 	 
11075	16	 	 	 
11075	17	 	 	 
11075	51	 	 	 
11075	52	 	 	 
11075	53	 	 	 
11075	54	 	 	 
11075	55	 	 	 
