CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTWEKR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PDPCPRR4	PRFACTR4	MTHPRFR4
41007	1	4	2	12	20	2	0	 	 	 	 	1	10
41007	2	88	 	 	 	 	 	 	 	 	 	 	 
41007	3	88	 	 	 	 	 	 	 	 	 	 	 
41009	1	88	 	 	 	 	 	 	 	 	 	 	 
41009	2	88	 	 	 	 	 	 	 	 	 	 	 
41009	3	88	 	 	 	 	 	 	 	 	 	 	 
41010	1	19	2	3	7	3	0	 	 	 	 	0	 
41010	2	88	 	 	 	 	 	 	 	 	 	 	 
41010	3	88	 	 	 	 	 	 	 	 	 	 	 
41011	1	13	1	12	26	10	1	4000	 	4	 	0	 
41011	2	88	 	 	 	 	 	 	 	 	 	 	 
41011	3	88	 	 	 	 	 	 	 	 	 	 	 
41012	1	88	 	 	 	 	 	 	 	 	 	 	 
41012	2	88	 	 	 	 	 	 	 	 	 	 	 
41012	3	88	 	 	 	 	 	 	 	 	 	 	 
41013	1	13	1	12	26	10	6	 	 	 	 	1	-77
41013	2	88	 	 	 	 	 	 	 	 	 	 	 
41013	3	88	 	 	 	 	 	 	 	 	 	 	 
41014	1	12	2	4	27	6	1	2500	 	4	 	0	 
41014	2	13	1	2	30	8	1	3000	 	4	 	0	 
41014	3	88	 	 	 	 	 	 	 	 	 	 	 
41015	1	88	 	 	 	 	 	 	 	 	 	 	 
41015	2	88	 	 	 	 	 	 	 	 	 	 	 
41015	3	88	 	 	 	 	 	 	 	 	 	 	 
41016	1	3	2	4	27	2	0	 	 	 	 	1	2
41016	2	12	1	1	28	7	1	1800	 	4	 	1	12
41016	3	88	 	 	 	 	 	 	 	 	 	 	 
41017	1	7	3	5	23	9	1	4000	 	4	 	0	 
41017	2	12	3	7	22	8	1	4000	 	4	 	1	12
41017	3	88	 	 	 	 	 	 	 	 	 	 	 
41019	1	12	3	3	30	8	1	1800	 	4	 	0	 
41019	2	20	3	3	20	8	0	 	 	 	 	1	4
41019	3	88	 	 	 	 	 	 	 	 	 	 	 
41021	1	13	1	9	30	12	1	7000	 	4	 	0	 
41021	2	12	3	1	5	12	1	3500	 	4	 	1	3
41021	3	88	 	 	 	 	 	 	 	 	 	 	 
41022	1	13	1	11	26	8	1	3500	 	4	 	1	3
41022	2	88	 	 	 	 	 	 	 	 	 	 	 
41022	3	88	 	 	 	 	 	 	 	 	 	 	 
41023	1	12	1	4	10	10	1	300	 	3	 	1	12
41023	2	88	 	 	 	 	 	 	 	 	 	 	 
41023	3	88	 	 	 	 	 	 	 	 	 	 	 
