CHILDCODE	SCHCSTIDR4	FEESR4	PAYPRDR4	NUMPRDR4
31046	7	20	2	11
31046	8	11300	5	1
31046	9	200	4	2
31046	10	 	 	 
31048	1	 	 	 
31048	2	 	 	 
31048	3	 	 	 
31048	4	 	 	 
31048	5	 	 	 
31048	6	 	 	 
31048	7	 	 	 
31048	8	 	 	 
31048	9	 	 	 
31048	10	 	 	 
31049	1	100	5	1
31049	2	2500	4	1
31049	3	200	3	1
31049	4	 	 	 
31049	5	0	 	 
31049	6	0	 	 
31049	7	0	 	 
31049	8	0	 	 
31049	9	300	4	1
31049	10	 	 	 
31050	1	 	 	 
31050	2	 	 	 
31050	3	 	 	 
31050	4	 	 	 
31050	5	 	 	 
31050	6	 	 	 
31050	7	 	 	 
31050	8	 	 	 
31050	9	 	 	 
31050	10	 	 	 
31052	1	 	 	 
31052	2	 	 	 
31052	3	 	 	 
31052	4	 	 	 
31052	5	 	 	 
31052	6	 	 	 
31052	7	 	 	 
31052	8	 	 	 
31052	9	 	 	 
31052	10	 	 	 
31058	1	 	 	 
31058	2	 	 	 
31058	3	 	 	 
31058	4	 	 	 
31058	5	 	 	 
31058	6	 	 	 
31058	7	 	 	 
31058	8	 	 	 
31058	9	 	 	 
31058	10	 	 	 
31059	1	 	 	 
31059	2	 	 	 
31059	3	 	 	 
31059	4	 	 	 
31059	5	 	 	 
31059	6	 	 	 
31059	7	 	 	 
31059	8	 	 	 
31059	9	 	 	 
31059	10	 	 	 
31060	1	 	 	 
31060	2	 	 	 
31060	3	 	 	 
31060	4	 	 	 
31060	5	 	 	 
31060	6	 	 	 
31060	7	 	 	 
31060	8	 	 	 
31060	9	 	 	 
31060	10	 	 	 
31079	1	 	 	 
31079	2	 	 	 
31079	3	 	 	 
31079	4	 	 	 
31079	5	 	 	 
31079	6	 	 	 
31079	7	 	 	 
31079	8	 	 	 
31079	9	 	 	 
31079	10	 	 	 
31096	1	 	 	 
31096	2	 	 	 
31096	3	 	 	 
31096	4	 	 	 
31096	5	 	 	 
31096	6	 	 	 
31096	7	 	 	 
31096	8	 	 	 
31096	9	 	 	 
31096	10	 	 	 
31098	1	 	 	 
31098	2	 	 	 
31098	3	 	 	 
