CHILDCODE	ASSTIDR4	ASSETR4	NMOWNR4	VLASTR4	ASACTR4
181036	1	1	10	200	1
181036	2	2	1	150	1
181036	3	30	5	500	2
181036	4	4	1	30	1
181037	1	1	10	100	1
181037	2	4	1	25	1
181037	3	30	1	120	1
181038	1	1	5	125	1
181038	2	2	1	50	1
181039	1	1	12	150	1
181039	2	15	3	4	7
181040	1	1	20	400	1
181040	2	5	4	-77	2
181041	1	1	12	300	1
181042	1	1	10	50	1
181043	1	1	15	70	1
181044	1	1	25	200	1
181044	2	5	1	1500	2
181045	1	1	20	450	1
181046	1	1	8	200	1
181047	1	1	10	150	1
181047	2	2	1	150	1
181047	3	8	1	230	1
181048	1	1	12	100	1
181049	1	1	5	60	1
181050	1	1	10	150	1
181050	2	15	5	100	8
181050	3	3	4	4	1
181051	1	1	12	200	11
181052	1	1	15	150	1
181052	2	25	1	14000	1
181053	1	1	10	150	1
181053	2	5	2	-77	2
181054	1	1	20	400	1
181054	2	5	2	1000	2
181054	3	5	1	400	2
181055	1	1	4	200	1
181056	1	3	1	2500	1
181056	2	5	2	1000	2
181057	1	1	10	200	1
181057	2	15	4	150	7
181057	3	26	5	50	8
181058	1	1	10	210	1
181058	3	8	2	500	1
181059	1	1	4	30	1
181059	2	13	4	50	9
181060	1	1	10	100	1
181060	2	15	3	25	7
181061	1	1	10	250	1
181061	2	4	1	120	1
181062	1	13	20	150	12
181063	1	1	10	25	1
181065	1	1	8	100	1
181067	1	1	12	50	1
181067	2	5	2	160	2
181068	1	1	6	120	1
181069	1	2	1	60	1
181069	2	1	10	50	1
181069	3	8	1	60	1
181070	1	26	1	100	8
181070	2	1	4	120	1
181072	1	1	10	80	1
181072	2	13	5	150	9
181073	1	1	10	200	1
181073	2	15	4	120	7
181074	1	1	15	100	1
181075	1	1	4	40	1
181075	2	4	1	30	1
181076	1	1	10	300	1
181076	2	8	2	440	1
181077	1	1	20	200	1
181078	1	1	10	150	1
181080	1	1	5	90	1
181081	1	25	0	 	6
181082	1	13	4	25000	8
181082	2	1	8	100	1
181082	3	3	1	2500	4
181082	4	25	1	20000	6
181083	1	1	6	100	1
181083	2	13	6	30000	8
181083	3	25	1	1600	8
181084	1	25	1	55000	7
181084	2	7	1	60000	1
181084	3	1	6	300	1
181084	4	8	1	120	1
181086	1	1	10	100	1
181086	2	5	2	200	2
181087	1	1	8	180	1
181087	2	5	1	1500	2
181088	1	1	7	140	1
181089	1	1	8	100	1
181090	1	1	20	150	1
181090	2	2	2	60	1
181090	3	4	2	80	1
181091	1	1	4	150	1
181092	1	1	10	200	1
181092	2	8	1	250	1
181093	1	1	5	30	1
181093	2	15	3	15	7
181094	1	25	1	20000	6
181094	2	1	7	80	1
181094	3	2	1	60	1
181096	1	1	6	60	1
181096	2	15	3	30	7
181097	1	1	6	180	1
181098	1	1	4	40	1
181098	2	2	0	 	1
181098	3	4	0	 	1
181099	1	1	5	100	1
181099	2	5	1	300	2
181100	1	1	5	100	1
181100	2	5	2	400	2
181101	1	1	25	100	1
181101	2	4	1	20	1
181101	3	2	1	30	1
181102	1	1	15	-77	1
181102	2	4	1	-77	1
181102	3	2	1	-77	1
181102	4	23	2	-77	7
181103	1	13	5	100000	8
181104	1	12	5	180	12
181104	2	13	1	400	12
181104	3	25	1	15	6
181104	4	1	10	100	1
181104	5	4	1	25	1
181105	1	1	4	15	1
191002	1	8	5	500	3
191003	1	30	5	1000	5
191004	2	23	4	200	7
191005	1	13	12	500	9
191006	1	1	12	2000	1
191006	2	9	5	200	9
191006	3	10	5	300	9
191009	1	25	1	27000	6
191009	2	17	10	180	6
191011	1	15	5	50	9
191011	2	23	2	500	7
191013	1	1	5	300	1
191015	1	2	1	250	1
191016	1	2	3	300	9
191016	2	13	400	1600	9
191016	3	25	1	25000	9
191017	1	25	1	7500	6
191019	1	23	2	200	7
191021	1	25	1	5000	6
191021	2	26	1	500	8
191022	1	1	1	50	1
191026	1	23	1	100	7
191027	1	5	0	 	2
191028	1	30	1	3000	3
191028	2	30	1	3000	3
191028	3	15	6	200	7
191030	1	30	2	3	7
191032	1	1	7	500	1
191033	1	13	40	-77	5
191034	1	25	1	3000	6
191034	2	17	3	300	6
191035	1	1	9	50	1
191035	2	3	1	1000	8
191035	3	30	1	50000	8
191036	1	41	1	1250	9
191037	1	1	8	50	1
191039	1	2	3	200	12
191039	2	13	6	800	12
191041	1	41	13	7200	8
191041	2	23	13	500	8
191042	1	24	10	5000	7
191042	2	23	5	1500	7
191043	1	23	2	1000	7
191047	1	13	4	200	10
191047	2	25	1	5000	9
191048	1	7	1	150000	9
191051	1	15	10	900	9
191051	2	23	11	1500	9
191053	1	30	7	425	3
191055	1	1	1	400	1
191055	2	2	1	70	1
191055	3	8	1	100	1
191055	4	23	3	-77	7
191057	1	25	1	10000	6
191057	2	30	10	125	7
191057	3	23	2	300	7
191058	1	1	4	60	1
191058	2	8	1	170	1
191059	1	13	6	350	8
191059	2	1	3	35	1
191060	1	18	2	500	9
191060	2	30	6	200	9
191061	1	1	2	20	1
191063	1	23	3	50	7
191065	1	1	10	600	1
191066	1	1	5	100	1
191066	2	30	1	300	7
191068	1	25	1	10000	6
191068	2	1	3	200	11
191069	1	25	1	200	7
191070	1	1	2	50	1
191071	1	23	6	1500	7
191072	1	1	6	400	1
191073	1	30	2	160	3
191075	1	30	5	200	3
191076	1	7	1	100000	12
191076	2	30	3	380	3
191077	1	1	2	60	11
191078	1	1	1	5	11
191081	1	14	20	800	12
191081	2	23	2	20	7
191083	1	25	1	75000	9
191083	2	14	25	60000	9
191088	1	1	10	300	1
191089	1	1	2	30	1
191091	1	9	5	5000	9
191092	1	13	5	400	12
191093	1	15	5	410	7
191096	1	23	4	1500	7
191096	2	15	4	200	9
191097	1	1	0	 	11
191098	1	17	2	800	9
191098	2	17	0	 	9
191099	1	25	0	 	6
191100	1	13	8	800	10
191102	1	13	25	350	8
191102	2	19	1	2500	8
191102	3	25	1	4000	6
191103	1	17	3	5100	9
191103	2	23	8	5050	7
201001	1	20	7	200	11
201003	1	23	4	1920	7
201004	1	23	1	30	7
201005	1	25	0	 	6
201005	2	1	15	300	1
201006	1	23	30	500	7
201007	1	26	3	2600	8
201007	2	30	3	90	8
201008	1	23	2	20	7
201008	2	25	1	5000	6
201011	1	41	3	3000	9
201014	1	23	10	2000	7
201015	1	13	10	100	5
201015	2	1	10	100	1
201016	1	26	12	35000	8
201018	1	1	7	400	1
201020	1	15	3	100	7
201021	1	1	8	150	1
201021	2	2	3	80	1
201022	1	23	8	800	7
201023	1	1	10	70	1
201023	2	5	3	5000	2
201023	3	4	2	150	1
201024	1	17	6	300	12
201025	1	25	1	800	6
201025	2	23	7	500	7
201027	1	25	1	1800	6
201027	2	23	6	1800	7
201028	1	26	5	8000	8
201028	2	25	1	25000	8
201030	1	30	2	15	7
201032	1	25	2	5000	6
201033	1	30	2	20	7
201035	1	23	1	-77	7
201037	1	25	1	5000	6
201037	2	17	1	30	6
201037	3	25	1	100	7
201038	1	30	1	58000	10
201038	2	23	1	300	7
201039	1	13	3	100	9
201039	2	15	4	20	9
201041	1	30	5	20	2
201042	1	1	8	60	1
201042	2	2	1	20	1
201042	3	8	2	400	1
201043	1	1	30	1500	1
201045	1	17	20	2000	6
201045	2	25	1	30000	6
201049	1	15	5	180	7
201051	1	25	1	12000	6
201052	1	1	5	200	1
201053	1	26	4	12000	9
201054	1	13	10	148	9
201055	1	30	2	40	9
201055	2	25	1	200	6
201057	1	23	10	800	7
201058	1	23	6	650	7
201059	1	23	3	30	7
201060	2	23	1	40	7
201061	1	23	6	1000	7
201061	2	25	1	23000	6
201062	1	15	10	1500	7
201062	2	23	1	1000	7
201063	1	25	1	17500	6
201065	1	17	10	100	6
201065	2	25	1	15000	6
201066	1	2	1	10	9
201066	2	13	1	20	9
201066	3	26	2	-77	8
201067	1	23	2	80	7
201068	1	13	6	10000	8
201069	1	30	2	6000	10
201072	1	23	8	24	7
201073	1	23	1	70	7
201074	1	26	4	5000	8
201074	2	24	2	100	7
201076	1	23	8	2000	8
201077	1	25	1	1000	6
201078	1	1	6	120	2
201079	1	25	1	1800	6
201079	2	23	2	50	7
201080	1	25	1	5000	6
201080	2	17	9	70	6
201080	3	1	5	20	1
201083	1	1	12	100	1
201083	2	3	1	1200	1
201083	3	8	1	700	1
201083	4	23	8	1540	7
201085	1	13	510	5000	9
201086	3	 	 	 	 
201087	1	9	8	592	9
201090	1	13	250	3000	9
201091	1	26	1	30	8
201092	1	25	1	75000	6
201093	1	8	7	1700	2
201094	1	26	4	100	7
201096	1	15	1	8	7
201097	1	26	1	20	8
201098	1	17	20	300	12
201100	1	25	1	4000	6
201101	1	11	2	300	9
201101	2	17	2	250	9
