CHILDCODE	HHLNIDR4	HHLNSCR4	FMLNR4	DIFFPYR4
190083	1	3	1	3
190089	1	1	1	1
190091	1	2	1	2
190094	1	7	2	3
190095	1	1	1	3
190098	1	1	1	2
190113	1	2	1	3
190115	1	1	1	2
190116	1	1	1	1
190130	1	3	1	3
200001	1	10	1	1
200007	1	1	1	3
200010	1	7	2	1
200011	1	1	1	3
200016	1	1	1	2
200016	2	8	2	2
200017	1	7	1	1
200019	1	1	1	2
200025	1	1	1	1
200030	1	1	1	1
200033	1	 	 	 
200039	1	2	1	2
200040	1	6	1	3
200041	1	1	1	1
200043	1	 	 	 
200048	1	8	1	2
200049	1	7	2	1
200061	1	6	1	2
200063	1	7	2	3
200076	1	1	1	1
200081	1	7	1	2
200083	1	6	1	2
200085	1	1	1	1
200086	1	3	1	2
200090	1	3	1	2
200097	1	1	1	2
200097	2	7	2	2
200099	1	1	1	2
200100	1	3	1	1
200119	1	6	1	1
200148	1	10	1	2
